question,answer,comment,instruction
"力
sample words:
意志力
くろん力
こみゅ力",りょく,"力:strength, energy, force, might, power; agency; au....
意志力(いしりょく):willpower
くろん力(くろんりょく):Coulomb force
こみゅ力(こみゅりょく):communication ability",Jouyou. JLPT : N4
"字
sample words:
意字
御す文字
華字",じ,"字:section of a village
意字(いじ):ideogram
御す文字(おすもじ):sushi
華字(かじ):Chinese character",Jouyou. JLPT : N4
"文
sample words:
下位文化
擬古文
美文",ぶん,"文:letter, note
下位文化(かいぶんか):subculture
擬古文(ぎこぶん):classical style
美文(びぶん):flowery prose",Jouyou. JLPT : N4
"文
sample words:
衣文
蝌蚪文字
古文",もん,"文:letter, note
衣文(えもん):dress; clothes; drapery
蝌蚪文字(かともんじ):ancient seal-script character
古文(こもん):kanji",Jouyou. JLPT : N4
"正
sample words:
がんま補正
規正
正の字",せい,"正:correct; adjust; reform; redress, straighten; ame...
がんま補正(がんまほせい):gamma correction
規正(きせい):correction
正の字(せいのじ):unit of five (in tallies, etc.)",Jouyou. JLPT : N4
"音
sample words:
音吐
四分音符
しゃった音",おん,"音:sound, noise, roar; fame; tone, note, voice, chir.
音吐(おんと):voice
四分音符(しぶおんぷ):crotchet; quarter note
しゃった音(しゃったおん):(camera) shutter sound",Jouyou. JLPT : N4
"京
sample words:
京せら
京せらみた
京都",きょう,"京:ten quadrillion; captital, metropolis; Kyoto
京せら(きょうせら):Kyocera
京せらみた(きょうせらみた):Kyocera Mita
京都(きょうと):Kyoto (city, prefecture)",Jouyou. JLPT : N4
"京
sample words:
京華
京畿道
京急大師線",けい,"京:ten quadrillion; captital, metropolis; Kyoto
京華(けいか):national capital; capital
京畿道(けいきどう):Gyeonggi Province; Gyeonggi-do (South Korea)
京急大師線(けいきゅうだいしせん):Keikyu Daishi Line",Jouyou. JLPT : N4
"会
sample words:
会誌
会話もど
区議会",かい,"会:meet, interview
会誌(かいし):club bulletin
会話もど(かいわもど):interactive mode
区議会(くぎかい):ward council",Jouyou. JLPT : N4
"作
sample words:
原作れいぷ
作当たり
作す",さく,"作:a work, a production; tillage; harvest; ridge (in.
原作れいぷ(げんさくれいぷ):unfaithful adaptation; hideous adaptation; terrib.
作当たり(さくあたり):good crop
作す(さくす):to make",Jouyou. JLPT : N4
"台
sample words:
枝付き燭台
台座
台輪",だい,"台:stand, pedestal, rack, table, dais, bench, block;.
枝付き燭台(えだつきしょくだい):girandole; candelabra; candelabrum
台座(だいざ):pedestal
台輪(だいわ):architrave",Jouyou. JLPT : N4
"同
sample words:
好き同士
同意語
同義語",どう,"同:same, identical, equal; uniform; equivalent; simi.
好き同士(すきどうし):lover; boyfriend; girlfriend; soul mate
同意語(どういご):synonym
同義語(どうぎご):synonym",Jouyou. JLPT : N4
"図
sample words:
絵図
絵地図
江戸絵図",ず,"図:measure, gauge, weigh; fathom, sound; compute, es..
絵図(えず):drawing; illustration
絵地図(えちず):pictorial map
江戸絵図(えどえず):map of Edo",Jouyou. JLPT : N4
"地
sample words:
がざ地区
借り地
きゃんぷ地",ち,"地:earth, land, ground, the surface of the earth; so....
がざ地区(がざちく):Gaza Strip
借り地(かりち):leased land
きゃんぷ地(きゃんぷち):campground; campsite; camping-ground",Jouyou. JLPT : N4
"多
sample words:
歌留多取り
多雨
多義語",た,"多:many; copious, abundant; much; frequent
歌留多取り(かるたとり):karuta game in which players race to grab cards a.
多雨(たう):heavy rain
多義語(たぎご):polyseme",Jouyou. JLPT : N4
"室
sample words:
画室
がす室
室を出る",しつ,"室:greenhouse; (ice) house; cellar
画室(がしつ):art studio
がす室(がすしつ):gas chamber
室を出る(しつをでる):to leave the room",Jouyou. JLPT : N4
"家
sample words:
うぃんざ家
後家
後家蜘蛛",け,"家:house, home, residence; housing; family, househol..
うぃんざ家(うぃんざけ):House of Windsor
後家(ごけ):widow
後家蜘蛛(ごけぐも):widow spider (of genus Latrodectus)",Jouyou. JLPT : N4
"少
sample words:
宇治少年院
希少
希少価値",しょう,"少:a small quantity, a little; a few; something; a l..
宇治少年院(うじしょうねんいん):Uji Reform School
希少(きしょう):rare; scarce
希少価値(きしょうかち):preciousness; scarcity value; rarity value",Jouyou. JLPT : N4
"店
sample words:
からおけ店
茶店
支店こど",てん,"店:shop, store, booth
からおけ店(からおけてん):karaoke parlor
茶店(さてん):tea house
支店こど(してんこど):branch code",Jouyou. JLPT : N4
"弟
sample words:
兄弟姉妹
再従弟
従兄弟",てい,"弟:younger brother
兄弟姉妹(けいていしまい):brothers and sisters; siblings
再従弟(さいじゅうてい):younger second cousin
従兄弟(じゅうけいてい):cousin (male)",Jouyou. JLPT : N4
"心
sample words:
心意
心抜き器
すぽつ心臓",しん,"心:mind, spirit; mentality; idea, thought; heart, fe...
心意(しんい):mind
心抜き器(しんぬきき):corer
すぽつ心臓(すぽつしんぞう):athlete's heart",Jouyou. JLPT : N4
"新
sample words:
新えねるぎ
新規ゆざ
新じゃが",しん,"新:new, novel, fresh, recent, modern
新えねるぎ(しんえねるぎ):alternative energy
新規ゆざ(しんきゆざ):new user
新じゃが(しんじゃが):new potatoes",Jouyou. JLPT : N4
"方
sample words:
下方に
古方
左方",ほう,"方:direction; settlement; person
下方に(かほうに):below
古方(こほう):old method
左方(さほう):left side",Jouyou. JLPT : N4
"楽
sample words:
我楽多市
気が楽
愉楽",らく,"楽:enjoy; amuse oneself; anticipate; merry, pleasant.
我楽多市(がらくたいち):rummage sale
気が楽(きがらく):feeling at ease; feeling easy; feeling good
愉楽(ゆらく):pleasure",Jouyou. JLPT : N4
"歩
sample words:
一歩ずつ
一歩退く
駆歩",ほ,"歩:walk, hike, step
一歩ずつ(いっぽずつ):stepwise; one step at a time
一歩退く(いっぽひく):to retreat a step; to take a step backward
駆歩(くほ):canter (horse gait)",Jouyou. JLPT : N4
"牛
sample words:
いんど水牛
牛耳を執る
牛みんち",ぎゅう,"牛:cattle, cow, bull, ox
いんど水牛(いんどすいぎゅう):Indian buffalo
牛耳を執る(ぎゅうじをとる):to be the leader; to take the lead in; to control
牛みんち(ぎゅうみんち):ground beef; minced beef",Jouyou. JLPT : N4
"理
sample words:
義理合い
義理立て
古地理",り,"理:reason, justice, truth, principle
義理合い(ぎりあい):social relationship; friendship
義理立て(ぎりだて):doing one's duty
古地理(こちり):past geography",Jouyou. JLPT : N4
"用
sample words:
あち作用
作用素
使用めもり",よう,"用:use, adopt (a method), employ
あち作用(あちさよう):arching
作用素(さようそ):operator
使用めもり(しようめもり):memory used",Jouyou. JLPT : N4
"画
sample words:
あぽろ計画
企画
企画課",かく,"画:picture, drawing, painting, sketch; stroke (in a .
あぽろ計画(あぽろけいかく):Project Apollo; Apollo program
企画(きかく):plan; planning; project; arrangements
企画課(きかくか):planning section",Jouyou. JLPT : N4
"画
sample words:
画素欠け
ぱすてる画
ぺん画",が,"画:picture, drawing, painting, sketch; stroke (in a .
画素欠け(がそかけ):pixel defect (on an LCD display, e.g. dead pixel)
ぱすてる画(ぱすてるが):pastel (picture)
ぺん画(ぺんが):pen-and-ink drawing; pen drawing",Jouyou. JLPT : N4
"肉
sample words:
肉が落ちる
肉叉
馬肉",にく,"肉:flesh, muscles; meat; the flesh; seal pad, ink pa.
肉が落ちる(にくがおちる):to slim down; to lose weight
肉叉(にくさ):fork
馬肉(ばにく):horsemeat",Jouyou. JLPT : N4
"茶
sample words:
こん茶
茶っぽい
葉茶",ちゃ,"茶:tea; tea plant; tea leaves, light brown
こん茶(こんちゃ):corn tea
茶っぽい(ちゃっぽい):brownish
葉茶(はちゃ):leaf tea",Jouyou. JLPT : N4
"言
sample words:
言語化
多言語
侮言",げん,"言:say, tell, talk, speak, declare; call, term, name.
言語化(げんごか):verbalizing; putting into words
多言語(たげんご):multilingual
侮言(ぶげん):insult",Jouyou. JLPT : N4
"計
sample words:
おむ計
計器
時計じかけ",けい,"計:measure, gauge, weigh; fathom, sound; compute, es..
おむ計(おむけい):ohmmeter
計器(けいき):meter; gauge
時計じかけ(とけいじかけ):clockwork",Jouyou. JLPT : N4
"通
sample words:
かど通路
刺を通ずる
通過びざ",つう,"通:walk along, pass by; pass through; pass (exams); ..........
かど通路(かどつうろ):card path
刺を通ずる(しをつうずる):to present one's card
通過びざ(つうかびざ):transit visa",Jouyou. JLPT : N4
