"Question","Answer","Comment","Instruction"
"heartbroken; crestfallen; dejected; disa
||が○○○||だよ。
彼は||が○○○||となりひざをついた。
彼は||が○○○||ひざをついた。","がっくり","heartbroken; crestfallen; dejected; disappointed","Guess the adverb"
"firmly; solidly; sturdily; strongly; tou
||が○○○||した体格してるわよ。
そのスポーツ選手は||が○○○||した体格をしていた。
トムは||が○○○||した手をしている。","がっしり,がっちり","firmly; solidly; sturdily; strongly; toughly","Guess the adverb"
"solid; robust; well-built; tight; taut; 
||が○○○||組んで助け合わねばならない。
ジョンは、日本でソフトウェア会社のマネージャーをしていました。彼はハワイ出身の日本人で、カッコよくて色黒。||が○○○||とした体つきでした。
彼は背が高く骨組みの||が○○○||した人だ。","がっちり,がっしり","solid; robust; well-built; tight; taut; shrewd; calculating; astute","Guess the adverb"
"in an instant; in a flash; in the blink 
||あ○○○○○○||逃げてしまった。
消防士は||あ○○○○○○||火を消した。
秋は||あ○○○○○○||過ぎ去った。
お休みは||あ○○○○○○||終わってしまった。
彼が||あ○○○○○○||飛び出しました。
楽しい時って、||あ○○○○○○||時間過ぎちゃうんだよね。","あっというまに,あっという間に","in an instant; in a flash; in the blink of an eye; in no time at all; just like that","Guess the adverb"
"easily; readily; quickly; flatly (refuse
彼は||あ○○○||罪を白状した。
彼はその問題を||あ○○○||解いた。
彼女は||あ○○○||と答えた。","あっさり","easily; readily; quickly; flatly (refuse); lightly (seasoned food, applied make-up, etc.); plainly; simply","Guess the adverb"
"quiet (place); still; silent; deserted; 
ここの夜は||ひ○○○||としています。
||ひ○○○||とした夜だった。
二人の姉妹は||ひ○○○||と暮らしていた。
その将軍は退役後||ひ○○○||余生を送った。","ひっそり","quiet (place); still; silent; deserted; inconspicuously; modestly; quietly","Guess the adverb"
"perhaps; maybe; possibly
アリスは||ひ○○○○○○||来るかもしれない。
||ひ○○○○○○||彼は来るだろう。
||ひ○○○○○○||明日は雨かもしれない。","ひょっとすると","perhaps; maybe; possibly","Guess the adverb"
"wet through; drenched
トムが汗||び○○○○||になり始めたんだ。
トムは汗||び○○○○||だった。
夕立にあって||び○○○○||ぬれた。","びっしょり","wet through; drenched","Guess the adverb"
"closely (packed, lined up, etc.); tightl
ボイラは湯あかが||び○○○||ついた。","びっしり","closely (packed, lined up, etc.); tightly; densely; (work) sufficiently","Guess the adverb"
"(tear) to pieces; (rip) apart; (rip) up;
彼と一緒に撮った写真を、||び○○○||に破いた。
彼女は彼の手紙を||び○○○||に引き裂いた。
彼女は手紙を||び○○○||に破いた。","びりびり","(tear) to pieces; (rip) apart; (rip) up; (rip) open; feeling an electric shock; with a rattle; with a shudder; trembling","Guess the adverb"
"hopping; skipping; lightly and repeatedl
とてもうれしそうに||ぴ○○○○○||跳ねて出ていった。
灰色をしたうさぎが姿を見せたので近寄ろうとすると、||ぴ○○○○○||とまた林の中へ駆けていった。
黒い小猫が||ぴ○○○○○||と水溜をさけて、隣の生垣の下をくぐった。","ぴょんぴょん","hopping; skipping; lightly and repeatedly jumping","Guess the adverb"
"with a rip; with a ripping sound; with a
あまりタカシに近づかない方がいいぞ。明日仕事の面接があるとかで、すごく||ぴ○○○||してるんだ。
コーラを飲んだら舌が||ぴ○○○||した。","ぴりぴり","with a rip; with a ripping sound; with a tearing sound; with a shrill sound (of a whistle); with a sting; with a tingle; with a burn; smartingly; nervously; tensely; (while) on edge; quiveringly; tremblingly","Guess the adverb"
"gently (raining); drizzling
今日は一日中雨が||し○○○||降っていた。
電車に乗ったころは||し○○○||という感じであった雨が、今はざあざあと降っている。","しとしと","gently (raining); drizzling","Guess the adverb"
"always; all the time; constantly; freque
ここには、||し○○○○○||来るよ。
トムは||し○○○○○||風邪引いてるんだ。
女房には||し○○○○○||嘘をついてた。","しょっちゅう","always; all the time; constantly; frequently; often","Guess the adverb"
"downheartedly; dejectedly; dispiritedly;
彼は||し○○○○||して、哀れに見えた。
彼女は今日、||し○○○○||している。","しょんぼり","downheartedly; dejectedly; dispiritedly; despondently","Guess the adverb"
"exactly; perfectly
田中さんとこの息子さん、いつも||き○○○||挨拶してくれるし、この間は荷物を運ぶのも手伝ってくれたの。
靴を脱いだら||き○○○||揃えておきなさい。","きちっと,きちんと,きっちり","exactly; perfectly","Guess the adverb"
"properly; accurately; exactly; precisely
トムって、||き○○○||してるね。
列になって||き○○○||戸口まで歩きなさい。
最後ぐらい||き○○○||決めろ。","きちんと,きちっと","properly; accurately; exactly; precisely; regularly; neatly; tidily; orderly","Guess the adverb"
"exactly; precisely; punctually; on the d
弁償代||き○○○||耳そろえて払わんかい。
彼女は入ってから||き○○○||ドアを閉めた。
私は||き○○○||３時間待った。","きっちり,きちっと,きちんと","exactly; precisely; punctually; on the dot; closely; tightly; (fitting) perfectly; properly; without fail","Guess the adverb"
"surely; undoubtedly; almost certainly; m
あっ、電話だわ。||き○○||真知子でしょう。
あなたは||き○○||成功されると思っています。
あれは||き○○||校長先生だ。","きっと,てっきり","surely; undoubtedly; almost certainly; most likely (e.g. 90 percent); sternly; severely; having no slack; rigid; stiff; tight; suddenly; abruptly; instantly","Guess the adverb"
"clearly; plainly; distinctly; decisively
「いやだ」と||き○○○||した態度でこたえた。
彼は彼らと||き○○○||と別れた。
彼は私達の頼みを||き○○○||と断った。
これを最後に||き○○○||酒をやめます。
どうか||き○○○||と決心してください。","きっぱり,はっきり","clearly; plainly; distinctly; decisively; flatly; definitely; resolutely","Guess the adverb"
"tightly (packed); densely; closely; cram
エレベーターに||ぎ○○○||いっぱいに乗った。
引き出しはがらくたで||ぎ○○○||詰まっている。
彼は棚に本を||ぎ○○○||詰め込んだ。","ぎっしり","tightly (packed); densely; closely; crammed","Guess the adverb"
"tightly (hold, squeeze, etc.); firmly; f
||ぎ○○○||抱きしめて。
彼女を||ぎ○○○||抱きしめた。
母親は何も言わずにただ||ぎ○○○||娘を抱きしめた。","ぎゅっと,しっかり","tightly (hold, squeeze, etc.); firmly; forcefully (e.g. push); hard","Guess the adverb"
"being startled
彼はその爆発に||ぎ○○○||した。
彼はその物音に||ぎ○○○||なった。
彼は騒音に||ぎ○○○||した。","ぎょっと,ドキッと","being startled","Guess the adverb"
"a tiny bit; just a smidgin; a wee bit; v
||ち○○○○||切ない朝を迎えました。
||ち○○○○||退屈だ。
彼はウイスキーを||ち○○○○||飲んだ。
私は||ち○○○○||悲しい。","ちょっぴり","a tiny bit; just a smidgin; a wee bit; very slightly","Guess the adverb"
"at a glance; by accident
彼は彼女を||ち○○○||見た。
私はバスから彼を||ち○○○||見た。
私は角を曲がる彼の姿を||ち○○○||見た。","ちらっと","at a glance; by accident","Guess the adverb"
"with a tinkle; with a jingle; with a whi
僕は犬に||ち○○○||を教えた。
動き出すとき、ベルが「||ち○○○||」と鳴る。だから、||ち○○○||電車。
犬は||ち○○○||をやめて四つ足に戻った。","ちんちん","with a tinkle; with a jingle; with a whistle (of a kettle)","Guess the adverb"
"surely; certainly; without doubt
||て○○○||ずっと日本にいるかと思ったよ。
||て○○○||参加してくれるものだと思ってました。
彼女のことは遊びなんだと、||て○○○||。","てっきり,きっと","surely; certainly; without doubt","Guess the adverb"
"carelessly; thoughtlessly; inadvertently
||う○○○||ミスしちゃった。
||う○○○||忘れてたんだよ。
||う○○○||言い間違えただけだよ。
私はちょっと||う○○○||していた。","うっかり","carelessly; thoughtlessly; inadvertently","Guess the adverb"
"falling into a doze; dozing off; nodding
シンディは卒業試験の最中に||う○○○||してしまった。
彼はつい||う○○○||とした。
彼は一日中||う○○○||していた。","うとうと","falling into a doze; dozing off; nodding off","Guess the adverb"
"tedious; boring; being fed up with
あーあ、この長雨にはもう、||う○○○||。
あいつの話を聞くと全く||う○○○||する。
毎晩の外食に||う○○○||だ。
ファーストフードには||う○○○||だよ。
みんなね、トムに||う○○○||してるんだよ。
林檎ジュースにはもう||う○○○||してるの。","うんざり","tedious; boring; being fed up with","Guess the adverb"
"at last; finally; barely; narrowly; just
||や○○||、自分がやりたいことができる。
||や○○||揺れが収まった。
||や○○||救急車が来たよ。","やっと","at last; finally; barely; narrowly; just; by the skin of one's teeth","Guess the adverb"
