Question,Answer,Comment,Instruction,Render As
"量子力学系の観測可能量は、ハミルトン演算子と可換で〇つ直接には時刻に依存しない場合、運動の定数と呼ばれる。実際、その様な観測可能量の平均値はどの様な状態に於いても時間的に一定となるのである。
ハイゼンベルクの不確定性関係は、粒子の位置と運動量とを同時に〇つ厳密に測定出来ないという事を表す。",且,"且:moreover;also;furthermore",Guess the hidden Kanji,Text
"私の妻が、貧〇の最中、子供を産んで、寝ている時、私が、幾日か、飯菜を作って、その料理の種類の豊富さと味のよさとに、びっくりさせたものである。
皆さんは、皮膚がんになる危険性が大いにあり、体を弱りきらせ、食料の〇しい、動植物の減少した未来の世界を私たちにつくるつもりですか。
いろいろできるし、みんなから重宝されるのはいいけれど、気がついたら器用貧〇といわれないようにな。",乏,"乏:destitution;scarce;limited",Guess the hidden Kanji,Text
"「お前、見かけによらず変態だな」「変態じゃないし。私は清純派の〇女よ」「はいはい、よく言うよ」
彼女のしかめた顔は、他の〇女の微笑みより遥かに美しい。
ベェーだっ！〇女のことを嗤った罰よ！",乙,"乙:the latter;duplicate;strange;witty;fishhook radical (no. 5)",Guess the hidden Kanji,Text
"彼女は奴隷制終〇のちょうど一世代後に生まれました。時は道に車もなく、そらに飛行機もなく時代です。その時彼女のような人は二つの理由で投票できませんでした。つまり、彼女が女性であったことと彼女の肌の色からです。
セーブされたゲームは破損しているようで、利用できません。ゲームを終〇した後、セーブデータを消去してからやり直してください。
本日は8時で閉館です。カウンターの受付は7時50分で終〇しますので、図書の返却・貸出等の手続きはお早めにお願いします。",了,"了:complete;finish",Guess the hidden Kanji,Text
"「〇佐美先輩が、ヒロシくんが真田先輩とキスした～って泣き喚いていたので」「な、泣き喚いてないよ～」
あの〇弓って子、まだ１３歳だけど５つのときから子役として映画や舞台に出演。
毎月曜日にエバンスさんはすべての家族の服を〇鉛のお風呂で洗いました。",亜,"亜:Asia;rank next;come after;-ous",Guess the hidden Kanji,Text
"すべて人は、人種、皮膚の色、性、言語、宗教、政治上その他の意見、国民的若しくは社会的出身、財産、門地その他の地位又はこれに類するいかなる事由による差別をも受けることなく、この宣言に掲げるすべての権利と自由とを〇有することができる。
私は既に何度も結婚生活というものを経験したが、その中のどれ一つとして私が〇受すべき幸福を与えてくれるものではなかった。
われわれはお返しに何かを与えないで、それらのものを〇受することは当然できないのである。",享,"享:enjoy;receive;undergo;answer (phone);take;get;catch",Guess the hidden Kanji,Text
"一体、わが国の婦人は、外国婦人などと違い、子供を持つと、その精魂をその方にばかり傾けて、〇主というものに対しては、ただ義理的に操ばかりを守っていたらいいという考えのものが多い。
女房が映画に行きたがっていることがよくわかったので、いじわるな〇主は一計を案じ、くるあてもない来客を家で待つことにした。
あの夫婦は共かせぎしている。だが〇主の給料のほうが女房の給料よりも低い。〇主が女房の尻にしかれるのも当然だ。",亭,"亭:pavilion;restaurant;mansion;arbor;cottage;vaudeville;music hall;stage name",Guess the hidden Kanji,Text
"世捨て人となり〇人のように山中をさまよい自給自足で誰とも接触せず野垂れ死にをしない方法とは絶対ある。
雲〇はとてもすばらしいところなので多くの人々が訪れます。
私は東京に来るまでに１０年間〇台に住んでいました。",仙,"仙:hermit;wizard;cent",Guess the hidden Kanji,Text
"新型コロナウイルスの感染拡大防止のために、ライブイベントの自粛が相次ぐ中、あるエンタテインメント〇業は、エンタテインメントの力で少しでも楽しい時間を過ごしてもらえるようにと、所属アーティストのライブ映像コンテンツを期間限定で無料配信すると発表した。
〇業社会が彼女らの活躍の場をどう用意できるか、も大きな課題だが、一方でこれからの日本社会が必要とする創造性豊かな人材を、教育産業がどう育成し、提供していけるかも重要だ。
あなたは、公開〇業でも私〇業でもよいがイタリアの会社に務めていて、高いレベルの責任を負う管理職の地位にある女性を何人知っていますか？",企,"企:undertake;scheme;design;attempt;plan",Guess the hidden Kanji,Text
"もし「〇業内腐敗との闘い」についてのセミナーに出席したくないなら、２００フリヴニャ払いさえすれば修〇証が貰えるよ。
その〇画を完〇するため彼らは大変骨を折ったそうだ。",企了,"了:complete;finish
企:undertake;scheme;design;attempt;plan",Guess the hidden Kanji,Text
"花子は壁に顔を〇せ、数を数え始めました。「いーち、にー、さーん、しー、ごー、ろーく、ひーち、はーち、きゅー、じゅ。もういいかい？」「まぁだだよ」「もういいかい？」「もういいよ」それを聞いて花子は、数を数えている間に隠れた友達を、さがし始めました。
彼は電動タイプライターが欲しかったが、友人は彼を説き〇せてワープロを買わせた。
あの男を説き〇せようとするのは、オオカミに道理を説いて聞かせるようなものだ。",伏,"伏:prostrated;bend down;bow;cover;lay (pipes)",Guess the hidden Kanji,Text
"その熱帯林を農耕地や燃料にするために木を〇採したり焼いたりします。
マダガスカルの熱帯林の９０％以上が〇採されました。
彼は木の〇採をしている。",伐,"伐:fell;strike;attack;punish",Guess the hidden Kanji,Text
"実力が〇仲したチーム同士の対戦なので面白い試合になりそうだ。
大学を卒業したら何になるつもりかと私は〇父に聞かれた。
私の〇父は幸せな人生を送り、穏やかな死を迎えました。",伯,"伯:chief;count;earl;uncle;Brazil",Guess the hidden Kanji,Text
"私はある時、初めて知り合いになった画家に〇われて、深夜そのアトリエにはいったことがある。屋根裏の薄暗い部屋である。
私はある時、初めて識り合ひになつた画家に〇はれて、深夜そのアトリエにはひつたことがある。屋根裏の薄暗い部屋である。
台風の接近に〇い交通機関に影響が出始めておりますが、本日のミーティングは予定通り行われますでしょうか？",伴,"伴:consort;accompany;bring with;companion",Guess the hidden Kanji,Text
"信じる人々には次のような印が〇います。すなわち、私の名によって悪〇を追い出し、新しい言葉を語り、蛇をもつかみ、たとい毒を飲んでも決して害を受けず、また、病人に手を置けば病人は癒やされます。
信じる者には次のような印が〇う。彼らは私の名によって悪〇を追い出し、新しい言葉を語る。手で蛇をつかみ、また、毒を飲んでも決して害を受けず、病人に手を置けば治る。",伴霊,"伴:consort;accompany;bring with;companion
霊:spirits;soul",Guess the hidden Kanji,Text
"女性は沈黙させられ、女性の希望は否定されていた時代にあって、クーパーさんは生き続け、女性が立ち上がり、声を上げ、そしてついに投票権に手を〇ばすのを目撃したのです。Yes we can。私たちにはできるのです。
３人のうちの１人が芝刈り機で私の庭を大雑把にさっと刈り、もう一人が妻の庭の端の〇びた雑草をさっと２、３回刈り、残りの一人はトラックに上がってタバコをすっていた。
書く話すの力は〇びているのは実感してないが、読むのがキリッとシャープに切れる感じになって来たような気がしてる。",伸,"伸:expand;stretch;extend;lengthen;increase",Guess the hidden Kanji,Text
"青河氏は講談社児童文学新人賞〇作を受賞する。
〇子ががりがり勉強している。
才子多病、〇人薄命。",佳,"佳:excellent;beautiful;good;pleasing;skilled",Guess the hidden Kanji,Text
"武士はいざと云う時には飽食はしない。〇し又空腹で大切な事に取り掛かることも無い。
企業の顧問弁護士団は合〇手続きを完了するために、２４時間通しで働いています。
インスティテュートで、リデュースの話と〇せて、ルデュックの話も聞いた。",併,"併:join;get together;unite;collective",Guess the hidden Kanji,Text
"『うぐいす〇』人間愛とユーモア溢れる〇物語。
現代の日本に忍者や〇はいません。
太郎には〇の血が流れている。",侍,"侍:waiter;samurai;wait upon;serve",Guess the hidden Kanji,Text
"日本に駐留していた米軍人と日本人女性の間に生まれた子供のことを、〇蔑の意図を込めて、「あいのこ」と呼んでいました。
家では赤味がかった髪とそばかすのせいで、母が〇蔑を込めて「にんじん」と名付け、皆にもそう呼ばせています。
〇り難いぜ、地元の遊園地。カップルやら家族やら・・・見渡す限り人、人、人。",侮,"侮:scorn;despise;make light of;contempt",Guess the hidden Kanji,Text
"拗音（ゃ　ゅ　ょ）と〇音（っ）の出し方も、加えていただけると参考になるかもしれません。
学際的研究を〇進するのにカリキュラム改革が不可欠であることは明らかである。
日本は世界平和を〇進するのに重要な役割を演じているでしょう。",促,"促:stimulate;urge;press;demand;incite",Guess the hidden Kanji,Text
"〇夫くんはとても上手に英語を話すことが出来る。
私が不在の間は〇が私の仕事を引き継ぎます。
〇敏に反応する。",俊,"俊:sagacious;genius;excellence",Guess the hidden Kanji,Text
"「『ミーム』ってなぁに？『ムーミン』のこと？」「違うって。『ある情報がヒトからヒトへ模〇されながら人類の文化を形成していくもの』のこと」「何て？さっぱり分からない」
宮廷では、平安初期には中国文化の模〇一辺倒でしたが、平安中期には日本的な美意識に基づいた文化が花開きました。
特別な技能を必要とする分野を除けば、彼らは彼のスタイルをあらゆる点で模〇した。",倣,"倣:emulate;imitate",Guess the hidden Kanji,Text
"〇理の点から言うと、技術関連の大原則は「現在への責任」だが、「未来への責任」という新しい考え方が出てきた。
そうですね。下手にでてばかりもなんだし。かつ、〇理的ですね。
〇理の面で、たくさんの人々が遺伝子治療に反対している。",倫,"倫:ethics;companion",Guess the hidden Kanji,Text
"彼はかなり裕福だが〇約家だ。その点では父親に似てる。
生活費は高い、だから私たちは〇約しなければならない。
家の支払いのため僕らは〇約しなければならないだろう。",倹,"倹:frugal;economy;thrifty",Guess the hidden Kanji,Text
"〇頭痛がおこったときに対処するだけではなく、普段の生活のなかで、〇頭痛をなるべく防いでいくのも大事なことです。
不〇不党の精神で、などとかっこ付けているけど、結局のところ自分の意見を持っていないだけじゃないの。
あなたが立派な世界市民になろうとするのなら、〇見は持たないように努力すべきである。",偏,"偏:partial;side;left-side radical;inclining;biased",Guess the hidden Kanji,Text
"私立探〇たちがその変わった事件を調査するために雇われた。
有能な探〇がその悲劇の原因を調査する任務に当てられた。
彼はよく探〇小説を読んで何時間も座っていたものだ。",偵,"偵:spy",Guess the hidden Kanji,Text
"「今日さぁ、転校していった友達と〇然会ったんだ」「そうなんだ」「うん。そしたら、映画の話になってさ、『今度一緒に観に行こう！』って言われたんだけど、行ってきていい？」「まぁ、いいけど、その友達って、男の子なの？女の子なの？」「......」
きれいな黄昏の色である。生徒は、〇然のように Crépuscule という単語を思い出す。二、三度、口に出して呟いてみて、この空の色もこの言葉ほど美しくないと思うのである。
「ねぇこれ、美味しいと思わない？どうしてだと思う？」「〇然の産物だから」「ピンポン！二度とこの味は出せないわ」",偶,"偶:accidentally;even number;couple;man & wife;same kind",Guess the hidden Kanji,Text
"たった一つ点っていたその角の家の門灯が、突然消えたのには、何か意味がありそうだった。 　あるいは〇然かも知れない。が〇然にしても不〇な〇然だと思った。
渋谷駅で〇然〇行さんに会ってね。",偶吉,"吉:good luck;joy;congratulations
偶:accidentally;even number;couple;man & wife;same kind",Guess the hidden Kanji,Text
"私は列車の中で〇然彼に〇いました。
私たちは〇然彼女に〇った。",偶遭,"偶:accidentally;even number;couple;man & wife;same kind
遭:encounter;meet;party;association;interview;join",Guess the hidden Kanji,Text
"「見てみて。この一万円札、999999のゾロ目よ。すごくない？」「それは、〇札だよ」「えっ、どうして？」「日本のお札は、000001から900000までって決まってるからね」
イエスはナタナエルが自分の方に来るのを見て、彼について言われた「見よ、あの人こそ、ほんとうのイスラエル人である。その心には〇りがない」。
アリバイの〇装工作したところで、絶対どこかでボロが出るってわからないのかな。",偽,"偽:falsehood;lie;deceive;pretend;counterfeit;forgery",Guess the hidden Kanji,Text
"〇りの姿を愛されるくらいなら、〇われた方がましだ。
〇善は〇いだ。",偽嫌,"偽:falsehood;lie;deceive;pretend;counterfeit;forgery
嫌:dislike;detest;hate",Guess the hidden Kanji,Text
"現実面では、エメット理論の応用によっていくつかの〇出したデザインが生み出されている。
サルマン・ラシュディの『悪魔の詩』は、近代文学の〇作の一つと見なされている。
さすがは、王子様ですわね。きっとただならない〇物の素質をお持ちなのですわ。",傑,"傑:greatness;excellence",Guess the hidden Kanji,Text
"この折りたたみ〇、すごく軽くて小さいから持ち運ぶのにちょうどいいな。少し値段が高いけど買っちゃおうかな。
銀行家とは、日が照っている時に人に〇を貸し、雨が降り出した途端に返せと言ってくる連中である。
なんだか今にも雨がザーッと降り出しそうな天気だよ。〇を持って出かけた方がいいみたいだね。",傘,"傘:umbrella",Guess the hidden Kanji,Text
"ドイツでは今日、いくつかの都市で襲撃に反対する抗議行動が〇されましたが、その都市の中には、月曜日の放火による襲撃でトルコ人３人が殺害されたハンブルク近くの都市も含まれています。
多くの人々が首を長くして待っていたショッピング・フェスティバルが、今日開〇されます。このため治安部隊は、来場者の安全を守る対策が万全である事を確認しました。
初めて〇眠に入る人の場合、とても浅い〇眠状態から、覚醒してもらって、〇眠状態と普通に覚醒した状態とを比べてもらうことがよくあります。",催,"催:sponsor;hold (a meeting);give (a dinner)",Guess the hidden Kanji,Text
"〇〇がましくて恐縮ですが、先日お貸ししたお金を返していただけませんか。
まさかリアルに借金の〇〇だったの？
しびれを切らして借金の〇〇をした。",催促,"促:stimulate;urge;press;demand;incite
催:sponsor;hold (a meeting);give (a dinner)",Guess the hidden Kanji,Text
"長期信用銀行は資金を調達するために〇券発行することが法によって認可されるが、彼らは普通銀行がのような方法で預金を取ることができない。
第一次世界大戦後、イタリアは密約を結んだにもかかわらず、外国領土に対して〇権を全て行使することができなかった。
国〇収支危機が発生し、政府は経済にブレーキをかけることを余儀なくされた。",債,"債:bond;loan;debt",Guess the hidden Kanji,Text
"行政指導が広範囲に用いられることは、日本特有のやり方だと考えられている。これにより、官〇は民間に対して、ああしろ、こうしろ、ああするな、こうするな、という強い権限を法律の裏づけなしに行使することができる。
私と、同〇とが、山の崖っぷちに立っている小屋に等しい二間の家ーー二間と云っても、上り口と、その次と、六畳に二畳の家に住んでいた。食べるものは、芋、干魚、豆腐、寒い山の上なので、冬になると芋が凍っている。
そして、そういいながら、自分を誘惑した男、戯談のようにいい寄った夫の同〇の一人、手を握った会社の課長、酔って接吻をしようとした親族の男などを、くだけた鏡に写っている記憶のように、きらきらと、閃かせた。",僚,"僚:colleague;official;companion",Guess the hidden Kanji,Text
"私は同〇と一〇に海外旅行をしたい。
彼は同〇と一〇にその計画を作った。",僚緒,"僚:colleague;official;companion
緒:thong;beginning;inception;end;cord;strap;mental or emotional state",Guess the hidden Kanji,Text
"こういうと一部の人たちには、ピンとこないかもしれないが、私はサラリーマンのままでいるほうがいい。収支を〇わせることで、頭を悩ます必要がないからだ。
イラク戦争に費やした4560億ドルは、世界中の子供たちに一年間の無〇の教育を提供できる。
平和を勝ち取るために、これからどれだけの代〇を払わなければならぬか、予想もつかぬ。",償,"償:reparation;make up for;recompense;redeem",Guess the hidden Kanji,Text
"国債の〇〇は、国民の平均所得の減少を意味することになるでしょう。
ギリシャはもはや自分の国債を〇〇することができない。",償還,"還:send back;return
償:reparation;make up for;recompense;redeem",Guess the hidden Kanji,Text
"父は４語でそうしたことを〇分すぎるくらいやり遂げていたのであり、それによってシェイクスピアの引用はビジネスのアドバイザーが望み得る限りの効果性を得たのであった。
こうした引用は友人に込み入った内容の連絡を行うのに効果的であった。彼の時代では理解してもらえることを〇分に期待してそうした作家から引用できたからである。
特に約２０年前から、高福祉政策が経済的破綻につながったとされる北欧諸国が示すように、福祉の〇実と国際競争力維持の両立は困難なものであると言える。",充,"充:allot;fill",Guess the hidden Kanji,Text
"つまり、おそらく、初めに調査をした者や技術者には知られていなかった物理的な障害が出てきて、それを〇服するためにさまざまな変更が必要になる。
彼らの研究では患者たちがセラピーの期間中にこのシンドロームを〇服したかどうかが明確に述べられていない。
システム全体を抜本的に変えなければ、この欠点を〇服することは困難である。",克,"克:overcome;kindly;skillfully",Guess the hidden Kanji,Text
"「ゼミのプレゼン、トップ合格したよ」「ぶっつけ本番でやったやつ？」「うん。なんかね、内容が具体的だったんだって。よかった。留年〇れた」「よかった。いらん授業料、払わずにすんだ」
「そういえば、車の〇許取りに行くって言ってたよね？取れた？」「取れた。取れた。仮〇3回落ちたけど、なんとかね」
彼らは秘密に投票し、公職をめざしてもよいし、また不適切な行為をする公職老の〇職を要求してもよい。",免,"免:excuse;dismissal",Guess the hidden Kanji,Text
"〇談だ。仮に本気だとしてもそういうことにして置かないと「本気でこんなものか」と思われてしまうだろう。「そうやって本気のフィールドで勝負することを逃げ続けていればいいさ」そんなツッコミが聞こえた気がした。
「アイス買ったんだけど、食べたい？」「何アイス？」「えっとねぇ、ココナッツ・チョコかラムレーズン」「じゃぁ、俺、ココナッツ・チョコで」「毎度あり、250円ね」「は？」「〇談よ。どうぞ」
事実、パスポートの写真については、次のような〇談話がある。—本当にパスポートの写真のような顔をしていれば、明らかに休暇が必要だ、というものである。",冗,"冗:superfluous;uselessness",Guess the hidden Kanji,Text
"我々は教授のお決まりの〇談には〇き〇きしている。
彼の〇談にはもう〇き〇きしている。
あいつの〇談には〇き〇きした。",冗飽,"冗:superfluous;uselessness
飽:sated;tired of;bored;satiate",Guess the hidden Kanji,Text
"「『ひまり』って、どんな字書くの？」「えっとね、太陽の『陽』に『万』。一万、二万のね。『莉』は草〇に『利』」「草〇に『り』？」「のぎへんにりっとう」「ああっ！ジャスミンの！」「ジャスミン？」「なんでもない。気にしないで」
力、英知、忍耐と革新。あなたはこれら全てを持っているのだろうか？その王〇を手にしようとする汝はその重みに耐えることとなる。
いつも男の子は、彼女のところで、彼女の葉っぱで、王〇を作って森の王様ごっこをしてあそんだ。",冠,"冠:crown;best;peerless",Guess the hidden Kanji,Text
"仮にも世界のリーダーを気取ってるくらいなら、京都議定書ぐらい批〇してほしい。
ヘレブラント博士はそのすぐれた大学の〇教授である。",准,"准:quasi-;semi-;associate",Guess the hidden Kanji,Text
"私と、同僚とが、山の崖っぷちに立っている小屋に等しい二間の家ーー二間と云っても、上り口と、その次と、六畳に二畳の家に住んでいた。食べるものは、芋、干魚、豆腐、寒い山の上なので、冬になると芋が〇っている。
〇死しそうな乞食が手当てのため、病院に運び込まれた。だが、その乞食は治療費を清算するような金は一文も、もってなかった。
ペットボトルのジュースをカチンカチンに〇らせてきたんだよ。これでお昼には冷たいジュースが山頂で飲めるって段取りさ。",凍,"凍:frozen;congeal;refrigerate",Guess the hidden Kanji,Text
"車が〇てついた路面を〇った時は「ひやっ」とした。
冬は道路が〇結するので、よく〇って転びます。
〇った斜面を〇り降りる時そりは加速した。",凍滑,"滑:slippery;slide;slip;fail exam
凍:frozen;congeal;refrigerate",Guess the hidden Kanji,Text
"彼はテニスに〇っているが、彼の兄はフットボールと野球にもっと〇っている。
彼女は大勢の少年たちに〇視されているのを意識していたと思う。
一日中パソコンに向かってると、肩が〇ってしょうがない。",凝,"凝:congeal;freeze;stiff;be absorbed in",Guess the hidden Kanji,Text
"あの長剣は〇った〇刻のしてある鞘に収まった。
〇った〇刻のしてある鞘に収まった長剣。",凝彫,"彫:carve;engrave;chisel
凝:congeal;freeze;stiff;be absorbed in",Guess the hidden Kanji,Text
"ひたすらに法隆寺へと憧れる私の心を乗せて、乗合自動車は〇〇の道をかなり快く走った。
この道路は未舗装で〇〇している。",凸凹,"凹:concave;hollow;sunken
凸:convex;beetle brow;uneven",Guess the hidden Kanji,Text
"いくつになったら、オレは、何かに傷ついたり、〇んだり、あがいたりしなくなるんだ。
お友達ブロガーさんがブログ閉鎖を決心されて〇み気味です。
車、〇んでるよ。",凹,"凹:concave;hollow;sunken",Guess the hidden Kanji,Text
"〇にぎざぎざが付いているので、このナイフはパンのようなものを切り分けるのに最適だ。
鋭い舌は絶えず用いることによって、ますます鋭利になる片〇の道具である。
長年愛用してきた包丁の〇が欠けてしまった。",刃,"刃:blade;sword;edge",Guess the hidden Kanji,Text
"アメリカでは、犯罪人を収容する〇務所のための場所以上に犯罪人がいるのでいつも〇務所は定員オーバーの状態である。
革命政府は、民衆から兵をつのって防戦するとともに、共和政治を確立して、捕らえていたルイ１６世を処〇しました。
裁判官はその未決囚の行動に対する嫌悪の念をためらうことなくあからさまにして、できるだけ過酷な〇を下した。",刑,"刑:punish;penalty;sentence;punishment",Guess the hidden Kanji,Text
"この例文は、書き方のサンプルなので必要に応じて内容を追加〇除をしてからお使いください。
丁寧に添〇してくださってありがとうございます。自分の間違いがとてもよく分かりました。
ペンしか使わないんだけど、なんとなくリュックの中にはまだ鉛筆〇りをいれてます。",削,"削:plane;sharpen;whittle;pare;shave",Guess the hidden Kanji,Text
"もっとも重要なことは、脳にはこれらの解〇学的組織を結合する全体的な再入経路が必要である。
好きになった人のことをもっとよく知りたくなったら，監禁して解〇してみるしか無いんですよ。
私たちは内臓器官を調べるためにカエルを解〇した。",剖,"剖:divide",Guess the hidden Kanji,Text
"見た目には優しそうだけど、彼って皆から外柔内〇の結構なタフネゴシエータと言われているよ。
ホイールに〇性があると、・・・の安定性は増す。
彼女は１０マイル競争を走るほど〇健だった。",剛,"剛:sturdy;strength",Guess the hidden Kanji,Text
"その問題の根本原因は、現代の世界において、賢明な人々が猜疑心に満ちている一方で、愚かな人々が自信過〇であるということである。
誰もが賛辞を耳にするのは好きであるが、過〇な賛辞は誠実さを感じさせないという逆の効果をもつ。
人に過〇なまでの対抗心を燃やすのは、結局自分の身を滅ぼすことに繋がります。",剰,"剰:surplus;besides",Guess the hidden Kanji,Text
"あなたの激〇がなかったら、この計画は諦めていたでしょうね。
ウオーッ、みんなの〇ましをもらって俄然やる気が出てきたぞ！
たくさんの人々が私に野望を実現させるように〇ましてくれた。",励,"励:encourage;be diligent;inspire",Guess the hidden Kanji,Text
"「トムさんて、背が高くて逞しいのね。こっちにきてキスしてくださらない？」「すんません、〇弁してください。自分、結婚してるんで」
男はにやりと笑うと、〇定を払った。そしてコップに残っているビールを、立ったまま、ぐいと飲みほした。
他国の人には、少し理解しづらい日本語かもしれません。トムさんも最初は〇違いしてたし。",勘,"勘:intuition;perception;check;compare;sixth sense",Guess the hidden Kanji,Text
"似たところでは、〇金活動に従事する学生が自らで稼いだ金を殆ど〇金しようとしないことが挙げられる。
フランス人と文通するかも。俺が〇集をかけてひとりから反応があってそれに返事したところ。
１２歳から１８歳にわたるたくさんの少年少女たちがそのコンテストに応〇した。",募,"募:recruit;campaign;gather (contributions);enlist;grow violent",Guess the hidden Kanji,Text
"将軍は勇者に「君は〇章に値する」と言った。
その勇敢な行為で彼は〇章を貰った。
〇さんが来てくれて本当に嬉しいわ。",勲,"勲:meritorious deed;merit",Guess the hidden Kanji,Text
"仏心宗と呼ばれるのは、禅宗が文字や経典をたよらずに、仏の心を師〇から弟子へと直接伝えていくことを根本宗旨としているからです。
この美術館はオランダの巨〇が描いた作品がたくさんある。
この包丁・・・有名な刀〇が作ったものなんです。",匠,"匠:artisan;workman;carpenter",Guess the hidden Kanji,Text
"〇名の情報源はいくつかの、おそらく誤っている文書もメディアに配布した。
〇名でも、詳細な情報を書いて頂いても、どちらでも結構です。
〇名だからといって、何やってもいいわけじゃないよ。",匿,"匿:hide;shelter;shield",Guess the hidden Kanji,Text
"トムは辞書で見つけた〇猥な例文をノートに写して暗記している。
君はそのような〇劣な行いなど出来るような人ではないはずだ。
彼を好きな人がいないのは当然だ。本当に〇劣な奴だから。",卑,"卑:lowly;base;vile;vulgar;despise",Guess the hidden Kanji,Text
