Question,Answer,Comment,Instruction,Render As
"かわいがっている犬。ふつうは飼い犬を指す。"	"愛犬,あいけん"	"かわいがっている犬。ふつうは飼い犬を指す。"	Guess the Word or Reading	Text
"大学を卒業した人、大||学||＊業者の意味の語。4年間の大学教育を終えた者とさらに大学院を修了した者を区別して「学部卒」と「院卒」と呼び分ける場合もある。"	"学卒,がくそつ"	"大学を卒業した人、大学卒業者の意味の語。4年間の大学教育を終えた者とさらに大学院を修了した者を区別して「学部卒」と「院卒」と呼び分ける場合もある。"	Guess the Word or Reading	Text
"(1)一個の軍団。または一団となった軍団を指す語。(2)プロ野球などのチームで公式戦出場選手として選抜・登録された選手団を指す語。"	"一軍,いちぐん"	"(1)一個の軍団。または一団となった軍団を指す語。(2)プロ野球などのチームで公式戦出場選手として選抜・登録された選手団を指す語。"	Guess the Word or Reading	Text
"主に「情交の関係にある人」の意味で用いられる表現。特に不倫関係において特別な交わりをもった異性を指すことが多い。女性の||愛||＊の場合は「情婦」、男性の場合は「情夫」、夫から見た場合の妻の||愛||＊は「間男」などと言う。"	"愛人,あいじん"	"主に「情交の関係にある人」の意味で用いられる表現。特に不倫関係において特別な交わりをもった異性を指すことが多い。女性の愛人の場合は「情婦」、男性の場合は「情夫」、夫から見た場合の妻の愛人は「間男」などと言う。"	Guess the Word or Reading	Text
"正当と見なされる手段や方式を用いないさま。不適切なさま。ずるや反則などは「||不||＊行為」のようにも言う。"	"不正,ふせい"	"正当と見なされる手段や方式を用いないさま。不適切なさま。ずるや反則などは「不正行為」のようにも言う。"	Guess the Word or Reading	Text
"一年の終わり頃を意味する語。師走、とくに12月の半ばから大晦日にかけての時期を指すことが多い。歳末、歳暮、歳晩、年の瀬、年の暮れ、などとも言う。"	"年末,ねんまつ"	"一年の終わり頃を意味する語。師走、とくに12月の半ばから大晦日にかけての時期を指すことが多い。歳末、歳暮、歳晩、年の瀬、年の暮れ、などとも言う。"	Guess the Word or Reading	Text
"はじめて目にすること、初対面であること、といった意味の語。スラング・若者言葉としては、掲示板などでよく挙げられるコピペや画像を初めて見た状況、あるいは、動画共有サービスなどで特定の投稿者の投稿を初めて見た状況などを指して用いられることが多い。"	"初見,しょけん"	"はじめて目にすること、初対面であること、といった意味の語。スラング・若者言葉としては、掲示板などでよく挙げられるコピペや画像を初めて見た状況、あるいは、動画共有サービスなどで特定の投稿者の投稿を初めて見た状況などを指して用いられることが多い。"	Guess the Word or Reading	Text
"「||養||＊」とは、引っ越しの家具の運搬時に建物の内壁を傷をつけないようにしたり外壁の塗装作業の際に周辺の汚損を防いだりするためにプラ板や||養||＊テープなどで保護することことを意味する表現。もともとは、本来のあるべき姿でいられるように維持・保護をすることを意味する表現で、建築や引っ越しの現場などで用いられる場合は、周囲に傷がつかないようシートなどで保護をするという意味になり、対象が人の場合は、健康に注意して元気でいられるように努めること、病気や怪我の回復に努めることという本来的な意味になる。"	"養生,ようじょう"	"「養生」とは、引っ越しの家具の運搬時に建物の内壁を傷をつけないようにしたり外壁の塗装作業の際に周辺の汚損を防いだりするためにプラ板や養生テープなどで保護することことを意味する表現。もともとは、本来のあるべき姿でいられるように維持・保護をすることを意味する表現で、建築や引っ越しの現場などで用いられる場合は、周囲に傷がつかないようシートなどで保護をするという意味になり、対象が人の場合は、健康に注意して元気でいられるように努めること、病気や怪我の回復に努めることという本来的な意味になる。"	Guess the Word or Reading	Text
"||法||＊とは、法律上は人間（自然人）に準するものとして扱われる権利能力の主体である。事業者として結成された組織が主に該当し、会社、社団、財団、教育機関などが主に含まれる。||法||＊は、生物としての人間個人ではないが、人格や権利の主体になり得るという点で人間に準じて扱われる。||法||＊と対比される場合いわゆる人間は「自然人」と称される。法学的には「権利や義務が帰属する主体」を「人格」という。||法||＊にも、この意味における人格が法的に認められている。||法||＊に帰属する人格を特に「||法||＊格」という。「||法||＊」という日本語は、英語のlegal personに対応する。||法||＊格を含む法学上の人格の概念はローマ法の中にすでに見出される。日本の法体系は明治維新の頃に大陸法にならって整備されており、その大陸法はドイツ法を筆頭にローマ法の影響を色濃く残している法体系と.."	"法人,ほうじん"	"法人とは、法律上は人間（自然人）に準するものとして扱われる権利能力の主体である。事業者として結成された組織が主に該当し、会社、社団、財団、教育機関などが主に含まれる。法人は、生物としての人間個人ではないが、人格や権利の主体になり得るという点で人間に準じて扱われる。法人と対比される場合いわゆる人間は「自然人」と称される。法学的には「権利や義務が帰属する主体」を「人格」という。法人にも、この意味における人格が法的に認められている。法人に帰属する人格を特に「法人格」という。「法人」という日本語は、英語のlegal personに対応する。法人格を含む法学上の人格の概念はローマ法の中にすでに見出される。日本の法体系は明治維新の頃に大陸法にならって整備されており、その大陸法はドイツ法を筆頭にローマ法の影響を色濃く残している法体系とされる（英米法も多かれ少なかれローマ法の影響を受けているが）。【法人の種類】法人の語を関する法人区分の主な例としては、社団法人、財団法人、NPO法人、学校法人、医療法人、監査法人、宗教法人などが挙げられる。「法人」の名を冠さないものの法人格その他の権利が認められる主体（"	Guess the Word or Reading	Text
"||以||＊とは、範囲を指し示す表現のひとつであり、ある基準（数値や程度）を示しつつ「その基準、および、それより下の範囲全体」を指し示す表現である。「||以||＊」は、基準として言及された対象を含む、という点に注意が必要である。たとえば正の整数について「3||以||＊」といえば、「1」と「2」と「3」のことである。人の年齢に関して「75歳||以||＊」という場合、新生児から75歳の人が含まれ、76歳およびより高齢の人は含まれないということになる。「その基準を含まない、それより下の範囲全体」を指す場合には、||以||＊ではなく「未満」という表現を用いる。たとえば「75歳未満」の場合、75歳の人は対象に含まれず、新生児から74歳までの人が対象となる。「||以||＊」とは逆に「基準も含めてその上の範囲全体」を指す語として「以上」がある。以上と||以||＊は対義語の関係といえる。ちなみに、「.."	"以下,いか"	"以下とは、範囲を指し示す表現のひとつであり、ある基準（数値や程度）を示しつつ「その基準、および、それより下の範囲全体」を指し示す表現である。「以下」は、基準として言及された対象を含む、という点に注意が必要である。たとえば正の整数について「3以下」といえば、「1」と「2」と「3」のことである。人の年齢に関して「75歳以下」という場合、新生児から75歳の人が含まれ、76歳およびより高齢の人は含まれないということになる。「その基準を含まない、それより下の範囲全体」を指す場合には、以下ではなく「未満」という表現を用いる。たとえば「75歳未満」の場合、75歳の人は対象に含まれず、新生児から74歳までの人が対象となる。「以下」とは逆に「基準も含めてその上の範囲全体」を指す語として「以上」がある。以上と以下は対義語の関係といえる。ちなみに、「未満」に対して「基準を含めない《それより上》を示す」表現には、「未満」と対になる語彙が一般的に用いられておらず、たいていは「より大きい」のような表現が用いられている。文章上の記述においては「この直後に言及する」という意味で「以下に示す」というような言い方がよく用"	Guess the Word or Reading	Text
"||出||＊とは、引用した語句の情報源である文献のことである。自著に引用した箇所があれば、||出||＊を明記するのが一般的である。||出||＊は、英語では source of reference（引用の情報源）と表現する。||出||＊の同義語には「出所」が挙げられる。ちなみに同音異義語の「出展」は、展覧会などに作品を出すことを意味する語であり||出||＊とは異なる。"	"出典,しゅってん"	"出典とは、引用した語句の情報源である文献のことである。自著に引用した箇所があれば、出典を明記するのが一般的である。出典は、英語では source of reference（引用の情報源）と表現する。出典の同義語には「出所」が挙げられる。ちなみに同音異義語の「出展」は、展覧会などに作品を出すことを意味する語であり出典とは異なる。"	Guess the Word or Reading	Text
