Question,Answer,Comment,Instruction,Render As
"「うちの子、最近机とかかじるんだけど、お腹空いてるのかな？」「ちがうよ。歯が生え始めてるんだよ。子供って、歯が生える頃になると、机とか椅子とかかじるものなのよ。心配しなくて大〇夫よ」
「今度、子供たちに英語を教えることになったんだけど、嬉しい反面、緊張する。上手く喋れるかな」「すごいじゃん。少々失敗しても、ご愛敬ってことで大〇夫よ。自信もって頑張ってね！」
「昨夜、牡蠣食べたら、お腹痛くなって夜からずっとトイレとお友達なの」「大〇夫？今日休む？」「うん。そうする」「じゃぁ、みんなには伝えとくから、ゆっくり休んでね」「ありがとう」",丈,"丈:length;ten shaku;measure;Mr.;Ms.;height;stature;all (one has);only;that's all;merely",Guess the hidden Kanji,Text
"通貨、すなわち、当時だれもが用いていた言い方に従えば、通常の王国法貨を〇える代わりに、雇い主は従業員に代用貨幣をあたえていました。そして、この代用貨幣は金属だったり、木だったり、厚紙だったりしました。
私の友人に大学を卒業して立派な官吏となっておる者がある。ある時この人が私に曰うに、僕は学校に於て教ったことは何も役に立たなかった、しかし少しばかり学んだ哲学が僕に非常な利益を〇えたと。
一次リーグで敗退したほとんどのチームは国民を大いに失望させることになった。しかし、ボスニア・ヘルツェゴビナは最終戦に勝利して、民族紛争に明け暮れてきた国民に大きな夢と希望を〇えた。",与,"与:bestow;participate in;give;award;impart;provide;cause;gift;godsend",Guess the hidden Kanji,Text
"あの家は私のおばあさんが小さい時に住んでいた〇の上にあってひなぎくに囲まれまわりにりんごの木が植わっていた家にとてもよく似ている。
村落の子供はしばしば、〇の上に集まって、そこでトラックや自動車が町へ行ったり来たりするのを見るようになりました。
夏になると日が長くなり小さいおうちのまわりの木々は緑の葉でつつまれ、そして〇はひなぎくの花でまっしろになります。",丘,"丘:hill;knoll",Guess the hidden Kanji,Text
"一つ一つ違っていて、広々とした庭があって魅力的な家〇が、もっぱら機能だけを追求したマンションにとって代わられるが、このマンションには、行き過ぎを思えるほど賞賛される「現代の便利な設備」以外に褒めるべき点はないのである。
ヌテラは日本のなかでなじみが薄いが、アメリカやヨーロッパなどでは人気のあるスプレッドであり、スーパーマーケットや食料品店には、大小さまざまなサイズの瓶が〇んでいる光景が見られる。
その答えは多くの教会や学校で、今までこの国では見られなかったくらい長い列が教えてくれた。３時間も４時間も〇び、その多くは人生初であった。",並,"並:as well as;line up;rank with;rival;equal;row;and;besides",Guess the hidden Kanji,Text
"線香花火は、火をつけそれが落ちるまで「蕾」「牡〇」「松葉」「散り菊」と名づけられた４つの段階を楽しむことができます。その美しい名前は、人の人生になぞらえ付けられたそうです。
「おぅーい、どうした〇治」「前の学校で習ってない単元があって困っている」
医者が患者を〇念に診察したおかげで、患者はどんどんよくなった。",丹,"丹:rust-colored;red;red lead;pills;sincerity",Guess the hidden Kanji,Text
"「あ、田中さん！」「あっ......！」「元気だった？」「うん。えっと、あっ......！名前ど忘れしちゃった。ごめんなさい。名前なんて言うんだったけ？」「もぉ、国貞よ。国貞恵子」「そうそう、国貞さん。お〇しぶり！」
「あ、田中さん！」「あっ......！」「元気だった？」「あ、はい。えっと、すみません。名前が出てこないですが、お名前お伺いしていいですか？」「もう、国貞よ。国貞恵子」「あっ、国貞先輩。お〇しぶりです！」
「今日ね、〇しぶりに海藻を食べてみたんだけど、美味しかった」「日本ではよく食卓にあがるんだけど、アメリカではあまりあがらないの？」「普通の家ではよく出てるみたいだよ。でも、僕んちではあまり出てこないよ」",久,"久:long time;old story",Guess the hidden Kanji,Text
"いつものコーヒーショップでコーヒーを飲んでいると、トムが血相を変えてやってきた。何事かと思いきや、どうやら、まだ結婚していない最愛の娘メアリーが、妊娠したと言うのだ。トムはかなり取り〇しているようだった。
事実は明白だ。それを混〇は憤慨するだろう、無知は嘲笑するだろう、悪意は曲げようとするだろう、しかしそれが事実なのだ。
日本文化の文脈の中では当然と思われる微笑みも、外国人の間では、不気味な笑いとして多くの混〇を生み、また悪評が高い。",乱,"乱:riot;war;disorder;disturb",Guess the hidden Kanji,Text
"実のところ、いかなるスピードで移動するにせよ、北極熊は他のおおかたの哺〇動物の２倍のエネルギーを消費する。
〇酸菌はかなりしぶとい菌で、冷凍しても単に冬眠するだけで、解凍すればそのまま復活させることができます。
巨〇か貧〇かどっちが好きかって？そりゃあ，巨〇だよ。貧〇が好きだなんて奴はみんなロリコンさ。",乳,"乳:milk;breasts",Guess the hidden Kanji,Text
"孵化後まもないヒナは、産毛が濡れていますが、２時間もすると〇いてフワフワになります。
ほぼ赤道直下にあるシンガポールでは、雨季・〇季があまり明瞭ではない。
空っぽ。僕の頭の中は〇いている。からからに〇いて何も育ちそうもない。",乾,"乾:drought;dry;dessicate;drink up;heaven;emperor",Guess the hidden Kanji,Text
"かつて、今よりもはるかに分断されていた国民にリンカーンが語ったように、私たちは敵ではなく友人なのです。感情はもつれたかもしれないが、だからといってお〇いを大事に思う親密な絆を断ち切ってはなりません。
日本の建前と本音という概念は、僕にとって、〇いに嘘をついてるだけだと思う。表面的なものだけじゃない？本当は？気持ちを傷つけないためと分かってても、やっぱりあまり好きじゃない。
すべての人間は、生まれながらにして自由であり、かつ、尊厳と権利とについて平等である。人間は、理性と良心とを授けられており、〇いに同胞の精神をもって行動しなければならない。",互,"互:mutually;reciprocally;together",Guess the hidden Kanji,Text
"今日の田中君が休んだ理由は、おばあさんが〇くなったって？確か先月も先々月もそう言ってなかったか？ずる休みするにしても、もう少しましな理由はないのかね。
適切にアースされていないマイクに触れると、命に関わる場合があります。何人かの歌手は実際そうやって〇くなっているのです。
２００６年９月の軍事クーデターで失脚、事実上〇命中だったタイのタクシン元首相が２８日、約１年半ぶりに帰国した。",亡,"亡:deceased;the late;dying;perish",Guess the hidden Kanji,Text
"巧言令色、鮮なし〇。
巧言令色少なし〇。
盗人にも〇義。",仁,"仁:humanity;virtue;benevolence;charity;man;kernel",Guess the hidden Kanji,Text
"〇護保険による〇護サービスを利用するには、「〇護が必要である」と認定される必要があります（要〇護認定）。
花粉よりも小さな黄砂をマスクでどれだけ防ぐことが出来るのか？花粉よりもずっと厄〇者のように思います。
自分の顔が嫌いなんだと思ってたけど、よく考えたら他人の視線を〇した自分の顔が嫌いなんだ。",介,"介:jammed in;shellfish;mediate;concern oneself with",Guess the hidden Kanji,Text
"〇蘭西で食べた菓子のうちで、僕がもつと食べたいと思ふのは、ブリオシユとババ・オオ・ロムと、それからマロン・グラアセである。
今のドイツでは、チョコレートケーキをうまく作るコツを知っている人の数よりも〇教徒の数の方が多い。
12月24日から10日間、たいていの日本人はキリスト教、〇教、神道と教えを変遷していく。",仏,"仏:Buddha;the dead;France",Guess the hidden Kanji,Text
"冗談だ。〇に本気だとしてもそういうことにして置かないと「本気でこんなものか」と思われてしまうだろう。「そうやって本気のフィールドで勝負することを逃げ続けていればいいさ」そんなツッコミが聞こえた気がした。
今度のハロウィンパーティーで、トイレットペーパーをグルグルに巻き付けたミイラの〇装をしようと思うんだ。
日本語を勉強していたとき、漢字はたくさんは使われてなく、〇名に置き換わっていることに気づいた。",仮,"仮:sham;temporary;interim;assumed (name);informal",Guess the hidden Kanji,Text
"信〇によって物事を見るということは、理性の目を閉じてしまうことだ。蝋燭の灯を消せば、朝日はよりはっきりと姿を現す。
貴社との間の財政上の問題を解決するために貴社のご助力を〇ぎたく、お願いをする次第です。
右からぐるっと回って、もっと、もっと、はい、そのまま〇向けになってください。",仰,"仰:face-up;look up;depend;seek;respect;revere;drink;take",Guess the hidden Kanji,Text
"「どのような物〇をお探しですか？もしよろしければお伺いしますが」「WiFi付きがないかなと思って」「それでしたら、こちらなどいかがでしょう？」
この通話は、サービス向上およびトレーニングのためにモニターまたは録音されることがあります。ご用〇は何でしょう？
ありがとうございます。申し訳ございませんが、別〇が入っておりまして、また次回誘っていただけるとうれしいです。",件,"件:affair;case;matter;item",Guess the hidden Kanji,Text
"怠惰だから自分で芝を刈れないという理由だけでたくさんのお金を使うように思われたが、その仕事をすっかり彼に〇した。
社長の突然の辞〇で、会社の中はガタガタだね。俺達これからどうなるんだろう。
私の参謀としてついたからには、危機感を持って〇にあたって貰わねば困ります。",任,"任:responsibility;duty;term;entrust to;appoint",Guess the hidden Kanji,Text
"「どのような物件をお探しですか？もしよろしければお〇いしますが」「WiFi付きがないかなと思って」「それでしたら、こちらなどいかがでしょう？」
「それでは、金曜日の9時半に書類を取りに〇いますんで」「わかりました。それまでに揃えておきます」
２月２７日（月曜日）のお約束の確認ですが、午前１０時に貴社にお〇いするということでしたね。",伺,"伺:pay respects;visit;ask;inquire;question;implore",Guess the hidden Kanji,Text
"一つも翻訳がついていない文章を翻訳するのは、誰の足跡もついていない雪の表面に、自分が初めて足跡をつけるみたいな感覚と少し〇ている気がする。
美というのは山の頂上に〇ているように私には思われた。そこに着いてしまえば、また下りる以外には何もすることがないのである。
ひとの声に〇た不気味な鳴き声、漆黒の羽、死肉を啄む姿などから、鴉は不幸に舞い降りる不吉な鳥として世界に知られています。",似,"似:becoming;resemble;counterfeit;imitate;suitable",Guess the hidden Kanji,Text
