Question,Answer,Comment,Instruction,Render as
"date of birth; DOB
これはおそらく戸籍上の||出＊＊＊＊||を調べた上で修正したのではないかと思います。","しゅっしょうねんがっぴ,しゅっせいねんがっぴ,出生年月日","",Guess the term having 5 (Grade-1 level) Kanji or its reading(not strictly same reading as one in the example),Text
"Monday, Tuesday, Wednesday, Thursday and Friday;..
平日は、||月＊＊＊＊||です。","げつかすいもくきん,月火水木金","Monday, Tuesday, Wednesday, Thursday and Friday; weekday",Guess the term having 5 (Grade-1 level) Kanji or its reading(not strictly same reading as one in the example),Text
"being in power only for a brief period; brief ch..
阪神||三＊＊＊||。あっと言う間に首位から転落しちゃったよ。","みっかてんか,みっかでんか,三日天下","being in power only for a brief period; brief championship; short-lived rule",Guess the term having 4 (Grade-1 level) Kanji or its reading(not strictly same reading as one in the example),Text
"Japanese literature
トムは大学で||日＊＊＊||を専攻した。
源氏物語を読んだが、||日＊＊＊||の最高傑作と呼び声が高いのが理解できない。
彼に||日＊＊＊||を紹介しようとしても意味がない。
彼女は初めから||日＊＊＊||に好意を抱いている。
近代||日＊＊＊||ってほとんど読んでないな。宮沢賢治くらいか。漱石も少し読んだ。
彼は||日＊＊＊||の研究者だ。
さしあたり||日＊＊＊||全集を読もうかな。
彼はＵＣＬＡで||日＊＊＊||に関して一連の講義をした。
トムは||日＊＊＊||の研究者だ。
||日＊＊＊||は、その美しさと豊かさにもかかわらず、西欧ではまだ不十分に","にほんぶんがく,日本文学","",Guess the term having 4 (Grade-1 level) Kanji or its reading(not strictly same reading as one in the example),Text
"23 days; 23rd day of the month
今日は、二千十六年十一月||二＊＊＊||です。","にじゅうさんにち,二十三日","",Guess the term having 4 (Grade-1 level) Kanji or its reading(not strictly same reading as one in the example),Text
"50 yen coin
どうして五円玉と||五＊＊＊||の真ん中に穴があいているの？","ごじゅうえんだま,五十円玉","",Guess the term having 4 (Grade-1 level) Kanji or its reading(not strictly same reading as one in the example),Text
"female student
その若い教授は||女＊＊＊||のあこがれの人だ。
||女＊＊＊||はベイカーさんの言った、「すいませんが、場所をかわってもらえませんか」という言葉を聞いて、さらに驚いた。
あの先生には||女＊＊＊||をえこひいきする傾向がある。
ホールには学生がいっぱいだったが、その多くは||女＊＊＊||だった。
私はクラスで中国語の勉強に特に熱心な||女＊＊＊||に気がついた。
若い男と||女＊＊＊||のひとりが車にのっていた。
若い男の車がフェンスに接していたので、ベイカーさんは||女＊＊＊||がすわっている、別のサイドに車を寄せた。
若い男の肩に頭をつけていた||女＊＊＊|","じょしがくせい,女子学生","",Guess the term having 4 (Grade-1 level) Kanji or its reading(not strictly same reading as one in the example),Text
"women's college
エリオットさんの姪は||女＊＊＊||に通っている。","じょしだいがく,女子大学","",Guess the term having 4 (Grade-1 level) Kanji or its reading(not strictly same reading as one in the example),Text
"25 days; 25th day of the month
僕は一月の||二＊＊＊||までに図書館の本を返却しなければならない。","にじゅうごにち,二十五日","",Guess the term having 4 (Grade-1 level) Kanji or its reading(not strictly same reading as one in the example),Text
"in 8 or 9 cases out of ten; in all probability
私の推測は||十＊＊＊||当たっていた。
||十＊＊＊||、彼が競争に勝つでしょう。
||十＊＊＊||彼は遅れるだろう。
||十＊＊＊||彼は成功するだろう。
彼は||十＊＊＊||会議に遅れる。
彼は||十＊＊＊||来るだろう。
||十＊＊＊||彼が選ばれるだろう。
||十＊＊＊||、トムは忘れてたね。
||十＊＊＊||、彼は一位になるだろう。
||十＊＊＊||ジェーンは来るだろう。","じっちゅうはっく,じゅうちゅうはっく,じゅっちゅうはっく,十中八九","",Guess the term having 4 (Grade-1 level) Kanji or its reading(not strictly same reading as one in the example),Text
