Question,Answer,Comment,Instruction,Render as
"damage","甚だしい,再生,傷つける,戦災,傷める,傷付ける,損傷,加える,冷害,及ぼす,受ける,損,荒らす,助かる,損害,受け付ける,害する,損なう,被害,損害保険,打撃,破損,痛み,壊す,請ける,穴埋め,負う,痛める,大破,防災,害,損壊,故障,水害","甚だしい heavy(damage)
再生 regeneration(lost damage tissue)
傷つける damage
戦災 war damage
傷める damage
傷付ける damage
損傷 damage
加える inflict(damage)
冷害 cold-weather damage(crops)
及ぼす cause(damage)
受ける sustain(damage)
損 damage
荒らす damage
助かる spared damage
損害 damage
受け付ける take damage
害する damage
損なう damage
被害 (suffering)damage
損害保険 damage insurance
打撃 damage
破損 damage
痛み damage
壊す damage
請ける sustain(damage)
穴埋め making(loss,damage,)
負う incur(loss,damage,)
痛める damage
大破 serious damage
防災 prevention damage resulting natural disaster
害 damage
損壊 damage
故障 damage(par",Guess Vocab related to Keyword,Text
"tax","国税庁,取る,主税局,直接税,増税,免税,税理士,申告,税務署,国税,住民税,税込み,減税,相続税,地方税,間接税,税金,所得税,掛かる,脱税,累進,控除,税制,査察,課する,消費税,税収,税率,重加算税,税額,税引き,込める,酒税,関税","国税庁 National Tax Agency
取る take(tax)
主税局 Tax Bureau
直接税 direct tax
増税 tax increase
免税 tax exemption
税理士 tax counsellor;licensed tax accountant;tax cou
申告 return(tax)
税務署 tax office
国税 national tax
住民税 municipal tax
税込み tax;including tax(price)
減税 tax reduction
相続税 inheritance tax
地方税 local tax;council tax
間接税 indirect tax
税金 tax
所得税 income tax
掛かる come under(contract,tax)
脱税 tax evasion
累進 increasing progressively(income tax,)
控除 deduction(tax)
税制 tax
査察 investigation(tax,)
課する impose(tax,fine,)
消費税 consumption tax(incl. sales tax,VAT,excise du",Guess Vocab related to Keyword,Text
"battle","戦い,戦地,戦闘,合戦,交戦,初陣,出陣,実戦,戦没,戦,論戦,対戦,商戦,決戦,出馬,戦列,軍兵,番手,闘う,布陣,大戦,戦死,勝敗,戦う,戦況,敗戦,投手戦,闘争,海戦,防戦,激戦,陣容","戦い battle;battle(against nature)
戦地 front(battle)
戦闘 battle
合戦 battle
交戦 battle
初陣 first battle
出陣 going battle
実戦 battle
戦没 death battle
戦 battle
論戦 battle words
対戦 battle
商戦 sales battle
決戦 decisive battle
出馬 going horseback(battle)
戦列 line battle
軍兵 battle troops
番手 nth rank(battle formation)
闘う battle(against)
布陣 battle formation
大戦 great battle
戦死 death battle
勝敗 outcome(game,battle,)
戦う battle(against)
戦況 progress battle
敗戦 lost battle
投手戦 pitchers' battle
闘争 battle
海戦 naval battle
防戦 defensive fight(battle)
激戦 hard-fought battle;fierce b",Guess Vocab related to Keyword,Text
"hit","三塁打,当り,二塁打,引っ掛ける,打撲,猛打,命中,大当たり,安打,打ち込む,流行歌,当たり,放つ,長打,当たる,殴る,当てる,突く,思い付く,殴打,流す,跳ねる,思い当たる,被災,打つ,直撃,拾う,見舞う,詰まる","三塁打 three-base hit
当り hit
二塁打 two-base hit
引っ掛ける hit ball end bat
打撲 hit(body)
猛打 heavy hit
命中 (direct)hit
大当たり big hit;smash hit
安打 safe hit
打ち込む hit(ball,);hit(opponent kendo,boxing,)
流行歌 hit song
当たり hit
放つ hit(baseball)
長打 long hit;extra-base hit
当たる hit
殴る hit
当てる hit(lottery);hit
突く hit
思い付く hit
殴打 hit
流す hit(ball)opposite field
跳ねる hit(car hit)
思い当たる hit answer
被災 hit(earthquake,typhoon,)
打つ hit
直撃 direct hit
拾う hit(luck,opportunity,)
見舞う hit
詰まる hit ball near handle bat",Guess Vocab related to Keyword,Text
"reception","不評,受け付け,大歓迎,享受,優遇,受容,受付,受け,出迎え,受け入れ,披露宴,宴会,受章,対応,受信,感度,受像,好評,最優遇,迎賓館,応接,待遇,接見,摂取,電波,難聴,歓迎","不評 poor reception
受け付け reception(desk)
大歓迎 favorable reception
享受 reception
優遇 warm reception
受容 reception
受付 reception(desk)
受け reception
出迎え reception
受け入れ reception
披露宴 reception(wedding)
宴会 reception
受章 reception order;reception decoration
対応 reception
受信 reception(radio,TV,)
感度 reception(radio,TV,)
受像 (television)reception
好評 favorable reception
最優遇 very warm reception
迎賓館 reception hall(visiting state dignitaries)
応接 reception(visitors)
待遇 reception
接見 reception
摂取 reception protection
電波 reception
難聴 poor reception(radio,)
歓迎 reception",Guess Vocab related to Keyword,Text
"actual","実務,実在,実情,実勢,如実,実証,実態,実地,実戦,実態調査,現地,実感,実像,本番,実況,実数,実際,顕在,現場,実物,実費,実績,現物,情,裏表","実務 (actual)work
実在 actual existence
実情 actual state affairs;actual circumstances
実勢 actual
如実 actual conditions
実証 actual proof
実態 actual condition
実地 actual site;actual practice
実戦 actual fighting
実態調査 investigation actual conditions
現地 actual place;actual location
実感 actual feeling
実像 actual circumstances;actual conditions
本番 actual event(celebration,)
実況 actual state(things);actual condition;actual sc
実数 actual number(opposed speculative number)
実際 actual conditions
顕在 actual(opposed hidden latent)
現場 actual spot
実物 actual
実費 actual expenses",Guess Vocab related to Keyword,Text
"union","労働組合,信用金庫,接続,信金,労組,連邦,ソ連,単産,合同,野合,連合,合唱,合併,同盟,労連,組合,産別,結晶,連盟,連立,結合,団結,結束,結び,赤軍","労働組合 trade union;labor union;labour union
信用金庫 credit union
接続 union
信金 credit union
労組 labor union;labour union;trade union
連邦 union
ソ連 Soviet Union
単産 (single-industry)industrial union
合同 union
野合 illicit union
連合 union;RENGO(Trade Union Confederation)
合唱 singing union
合併 union
同盟 union
労連 labor union;labour union
組合 union
産別 industrial union
結晶 fruits(labor,union,)
連盟 union
連立 union
結合 union
団結 union
結束 union
結び union
赤軍 Red Army(Soviet Union,1918-1946)",Guess Vocab related to Keyword,Text
"direct","付け,向ける,直行,直系,命中,司る,因縁,直営,直属,手抜き,率直,端的,掛ける,回す,直,直接,直接税,直撃,直接選挙,直接的,直球,直轄,直通,真っ直ぐ","付け direct attack enemy stone
向ける direct
直行 going direct
直系 direct line;direct descent
命中 (direct)hit
司る direct
因縁 hetu prataya(direct causes indirect conditions,
直営 direct management
直属 direct control;direct supervision
手抜き making move which direct counter opponent's la
率直 direct
端的 direct
掛ける direct(,)
回す direct
直 direct;direct
直接 direct
直接税 direct tax
直撃 direct hit
直接選挙 direct election
直接的 direct
直球 direct(question)
直轄 direct control
直通 direct communication;direct line
真っ直ぐ direct",Guess Vocab related to Keyword,Text
"escape","脱走,漏洩,助かる,脱出,拡張,逃げ切る,危ない,抜ける,落とす,逃げ,活路,逃げる,跳ぶ,逃走,漏れる,逃亡,逃れる,零れる,逃避,逃げ出す,脱する,逃げ道,避難,飛ぶ","脱走 escape
漏洩 escape(gas)
助かる escape harm
脱出 escape
拡張 escape
逃げ切る good escape
危ない narrow(escape)
抜ける escape
落とす secretly escape
逃げ escape
活路 means escape
逃げる escape;escape(heat,gas,)
跳ぶ escape
逃走 escape
漏れる escape
逃亡 escape
逃れる escape
零れる escape(smile,tear,)
逃避 escape
逃げ出す escape
脱する escape
逃げ道 escape route;means escape
避難 escape
飛ぶ escape",Guess Vocab related to Keyword,Text
"administration","地方行政,内政,民政,政府,監理,事務,司法,通達,投薬,執行部,経理,投与,管財,新政,政権,施政,軍政,経営,議院運営委員会,農政,運営,行政,防衛施設庁","地方行政 local administration
内政 internal administration
民政 civil administration
政府 administration
監理 administration
事務 administration
司法 administration justice
通達 directive(higher lower levels administration)
投薬 administration
執行部 administration
経理 administration(money)
投与 administration(medicine)
管財 administration property
新政 new administration
政権 (political)administration
施政 administration
軍政 military administration
経営 administration
議院運営委員会 Committee Rules Administration(Diet)
農政 agricultural administration
運営 administration
行政 administration
防",Guess Vocab related to Keyword,Text
