Question,Answer,Comment,Instruction,Render as
"that sort of; like that
こう言う人もいれば、||あ○○○||人もいる。","ああいう,ああ言う",that sort of; like that,"expressions (phrases, clauses, etc.)",Text
"a fine thing to say; dialoging (with ano
おじいちゃんに、お別れの||挨○||しておいで。
小さな男の子が私に||挨○||してくれた。
彼女は||挨○||しました。","あいさつ,挨拶",a fine thing to say; dialoging (with another Zen practitioner to ascertain their level of enlightenment),"expressions (phrases, clauses, etc.)",Text
"Happy New Year
||明○○○○○○○○○○○○○○||。今年もよろしくお願いします。
||明○○○○○○○○○○○○○○||。本年もよろしくお願いいたします。","あけましておめでとうございます,明けましておめでとうございます",Happy New Year,"expressions (phrases, clauses, etc.)",Text
"an instant; a split second; no time at a
もう10時だって。||あ○○○○○||だね。
一生は||あ○○○○○||だ。
楽しい時間は||あ○○○○○||だね。","あっというま,あっという間",an instant; a split second; no time at all; time of an 'ah!',"expressions (phrases, clauses, etc.)",Text
"an instant; a split second; no time at a
||あ○○○○○||の出来事でした。","あっというま,あっと言う間",an instant; a split second; no time at all; time of an 'ah!',"expressions (phrases, clauses, etc.)",Text
"in an instant; in a flash; in the blink 
||あ○○○○○○||逃げてしまった。
消防士は||あ○○○○○○||火を消した。
彼は||あ○○○○○○||寝入ってしまった。","あっというまに,あっという間に",in an instant; in a flash; in the blink of an eye; in no time at all; just like that,"expressions (phrases, clauses, etc.)",Text
"in an instant; in a flash; in the blink 
楽しい時って、||あ○○○○○○||時間過ぎちゃうんだよね。
お休みは||あ○○○○○○||終わってしまった。
彼が||あ○○○○○○||飛び出しました。","あっというまに,あっと言う間に",in an instant; in a flash; in the blink of an eye; in no time at all; just like that,"expressions (phrases, clauses, etc.)",Text
"to rain
六月は来る日も来る日も||雨○○○||。
空が怪しい。||雨○○○||かな。
||雨○○○||前に洗濯物入れとくよ。","あめがふる,雨が降る",to rain,"expressions (phrases, clauses, etc.)",Text
"in error; by mistake; by accident; accid
私が||誤○○||窓を壊したのは昨日でした。
しかしながら、品物の数が||誤○○||いました。
その薬は||誤○○||使うと毒になる。","あやまって,誤って",in error; by mistake; by accident; accidentally,"expressions (phrases, clauses, etc.)",Text
"in error; by mistake; by accident; accid
彼は||過○○||親指を金槌で打ち付けた。
農家の男の子が、小麦を乗せた小型トラックを||過○○||横転させてしまった。","あやまって,過って",in error; by mistake; by accident; accidentally,"expressions (phrases, clauses, etc.)",Text
"thank you
すてきな贈り物をいただきご親切に||有○○○○○○○○○||。
傘を貸してくださってたいへん||有○○○○○○○○○||。","ありがとうございました,有り難うございました",thank you,"expressions (phrases, clauses, etc.)",Text
"thank you
早々のご確認、誠に||有○○○○○○○○||。
||有○○○○○○○○||。","ありがとうございました,有難うございました",thank you,"expressions (phrases, clauses, etc.)",Text
"thank you
十分頂きました、||有○○○○○○○○||。
色々と||有○○○○○○○○||。忘れないように彼はそれを書き留めた。
親切なお手紙を||有○○○○○○○○||。","ありがとうございます,有り難うございます",thank you,"expressions (phrases, clauses, etc.)",Text
"thank you
来てくれて||有○○○○○○○||。","ありがとうございます,有難うございます",thank you,"expressions (phrases, clauses, etc.)",Text
"thank you
実家を守ってくれて||有○○○○○○○||。新型コロナウイルスに感染しないよう気をつけて下さい。
承知致しました。||有○○○○○○○||。","ありがとうございます,有難う御座います",thank you,"expressions (phrases, clauses, etc.)",Text
"in a sense; in some way; to an extent
彼は||あ○○○○||彼の会社の代表である。
彼は||あ○○○○||芸術家だ。
貧乏は、||あ○○○○||、天の恵みだ。","あるいみで,ある意味で",in a sense; in some way; to an extent,"expressions (phrases, clauses, etc.)",Text
