Question,Answer,Comment,Instruction,Render as
"overseas (a foreign) market
貴社の製品の||海＊＊＊||の割合はどのくらいですか。","かいがいしじょう,海外市場","",Guess the term having 4 (Grade-2 level) Kanji or its reading(not strictly same reading as one in the example),Text
"brothers and sisters; siblings
トムには||兄＊＊＊||がいますか？
マヤ、アルマ、他の私の全ての||兄＊＊＊||たちへ、私にくれた助けをどうもありがとう。
私には８人の||兄＊＊＊||がいます。","きょうだいしまい,けいていしまい,兄弟姉妹","",Guess the term having 4 (Grade-2 level) Kanji or its reading(not strictly same reading as one in the example),Text
"domestic market
ゲーム機の||国＊＊＊||は飽和状態で、大きなヒットは期待できない。
||国＊＊＊||の競争はすさまじいものです。
||国＊＊＊||の縮小はインフレに依るものです。","こくないしじょう,国内市場","",Guess the term having 4 (Grade-2 level) Kanji or its reading(not strictly same reading as one in the example),Text
"all ages and countries; all times and places
これは||古＊＊＊||に通ずる真理である。
||古＊＊＊||、嫁と姑の仲は上手くいかぬ例が多いと見える。
||古＊＊＊||、親の子供に対する愛情に変わりはない。","ここんとうざい,古今東西","",Guess the term having 4 (Grade-2 level) Kanji or its reading(not strictly same reading as one in the example),Text
"survival of the fittest; the law of the jungle; ..
||弱＊＊＊||。
||弱＊＊＊||だろうね。","じゃくにくきょうしょく,弱肉強食","survival of the fittest; the law of the jungle; the weak are meat the strong do eat",Guess the term having 4 (Grade-2 level) Kanji or its reading(not strictly same reading as one in the example),Text
"Tokaido Line
||東＊＊＊||は台風で麻痺状態になった。
||東＊＊＊||は東京が終点だ。","とうかいどうせん,東海道線","",Guess the term having 4 (Grade-2 level) Kanji or its reading(not strictly same reading as one in the example),Text
"telco; telecommunications company
||電＊＊＊||は先月私を解雇しました。","でんわがいしゃ,電話会社","",Guess the term having 4 (Grade-2 level) Kanji or its reading(not strictly same reading as one in the example),Text
"Tohoku region; Tohoku region (northernmost six p..
ゴールデンウィーク連休中には、多くのボランティアが地震と津波の被害を受けた||東＊＊＊||へ出向いた。
台風は||東＊＊＊||を横断するかもしれない。
彼はこの夏、||東＊＊＊||を旅行した。
彼は今年の夏、||東＊＊＊||を旅行した。
彼女は||東＊＊＊||に行くのを楽しみにしています。
||東＊＊＊||は大変な冷害に見舞われた。
||東＊＊＊||は旅行する価値があります。","とうほくちほう,東北地方","Tohoku region; Tohoku region (northernmost six prefectures of Honshu)",Guess the term having 4 (Grade-2 level) Kanji or its reading(not strictly same reading as one in the example),Text
"extension telephone
グレースは階上の||内＊＊＊||のところへ行く。","ないせんでんわ,内線電話","",Guess the term having 4 (Grade-2 level) Kanji or its reading(not strictly same reading as one in the example),Text
"Yomiuri Shimbun (Japanese newspaper)
うちは朝日新聞と||読＊＊＊||を購読しています。
女房は婦人記者として、||読＊＊＊||へ勤める事になった。","よみうりしんぶん,読売新聞","",Guess the term having 4 (Grade-2 level) Kanji or its reading(not strictly same reading as one in the example),Text
