Question,Answer,Comment,Instruction,Render As
"一つ一つ違っていて、広々とした庭があって魅力的な家〇が、もっぱら機能だけを追求したマンションにとって代わられるが、このマンションには、行き過ぎを思えるほど賞賛される「現代の便利な設備」以外に褒めるべき点はないのである。
ヌテラは日本のなかでなじみが薄いが、アメリカやヨーロッパなどでは人気のあるスプレッドであり、スーパーマーケットや食料品店には、大小さまざまなサイズの瓶が〇んでいる光景が見られる。
その答えは多くの教会や学校で、今までこの国では見られなかったくらい長い列が教えてくれた。３時間も４時間も〇び、その多くは人生初であった。",並,"並:as well as;line up;rank with;rival;equal;row;and;besides",Guess the hidden Kanji,Text
"彼は学生〇みから言えば〇勉です。
彼は学生〇から言うと〇勉です。
彼は学生〇みに言えば〇勉です。",並勤,"並:as well as;line up;rank with;rival;equal;row;and;besides
勤:diligence;become employed;serve",Guess the hidden Kanji,Text
"始発駅に電車が入ってきて、やがてドアが開くと、〇んでいた客たちは目の色を変えて〇席になだれ込む。
お庭の方にも縁台を〇べれば、かなり〇席数を確保できそうだなーと思いました。
女の子たちは〇んで〇っていました。",並座,"座:squat;seat;cushion;gathering;sit
並:as well as;line up;rank with;rival;equal;row;and;besides",Guess the hidden Kanji,Text
"いつものコーヒーショップでコーヒーを飲んでいると、トムが血相を変えてやってきた。何事かと思いきや、どうやら、まだ結婚していない最愛の娘メアリーが、妊娠したと言うのだ。トムはかなり取り〇しているようだった。
事実は明白だ。それを混〇は憤慨するだろう、無知は嘲笑するだろう、悪意は曲げようとするだろう、しかしそれが事実なのだ。
日本文化の文脈の中では当然と思われる微笑みも、外国人の間では、不気味な笑いとして多くの混〇を生み、また悪評が高い。",乱,"乱:riot;war;disorder;disturb",Guess the hidden Kanji,Text
"今日、僕の学校に銃〇〇予告があったんだよ。
学校での銃〇〇事件はこの半年で3回目だ。",乱射,"射:shoot;shine into;onto;archery
乱:riot;war;disorder;disturb",Guess the hidden Kanji,Text
"一世紀半混〇が続いた後に、やっと国王の〇威が回復された。
反〇軍の兵士が政〇を打倒する野望を隠していた。",乱権,"権:authority;power;rights
乱:riot;war;disorder;disturb",Guess the hidden Kanji,Text
"実のところ、いかなるスピードで移動するにせよ、北極熊は他のおおかたの哺〇動物の２倍のエネルギーを消費する。
〇酸菌はかなりしぶとい菌で、冷凍しても単に冬眠するだけで、解凍すればそのまま復活させることができます。
巨〇か貧〇かどっちが好きかって？そりゃあ，巨〇だよ。貧〇が好きだなんて奴はみんなロリコンさ。",乳,"乳:milk;breasts",Guess the hidden Kanji,Text
"牛〇、バター〇などを買わなければならない。
牛〇と〇を混ぜなさい。",乳卵,"卵:egg;ovum;spawn;roe
乳:milk;breasts",Guess the hidden Kanji,Text
"トムは牛〇を買い〇れてしまった。
あ、牛〇買うの〇れてた。",乳忘,"忘:forget
乳:milk;breasts",Guess the hidden Kanji,Text
"ほ〜れほれほれ，わしにその〇を見せてくれんかの。ん？もちろんタダとは言わん。この扇子が〇しいんじゃろ？
赤ちゃんがお〇を〇しがっています。
赤ん坊は母〇を〇しがる。",乳欲,"乳:milk;breasts
欲:longing;covetousness;greed;passion;desire;craving",Guess the hidden Kanji,Text
"今日の田中君が休んだ理由は、おばあさんが〇くなったって？確か先月も先々月もそう言ってなかったか？ずる休みするにしても、もう少しましな理由はないのかね。
適切にアースされていないマイクに触れると、命に関わる場合があります。何人かの歌手は実際そうやって〇くなっているのです。
２００６年９月の軍事クーデターで失脚、事実上〇命中だったタイのタクシン元首相が２８日、約１年半ぶりに帰国した。",亡,"亡:deceased;the late;dying;perish",Guess the hidden Kanji,Text
"ここ２、３年、外国を旅行中に交通事故で死〇または負〇した日本人は多い。
交通事故により、同乗者が死〇、運転手も重〇を負いました。",亡傷,"亡:deceased;the late;dying;perish
傷:wound;hurt;injure;impair;pain;injury;cut;gash;scar;weak point",Guess the hidden Kanji,Text
"〇き母の写真を見るたびに、〇に熱いものが込み上げてくる。
その〇命者は故国への思いに〇を焦がした。",亡胸,"亡:deceased;the late;dying;perish
胸:bosom;breast;chest;heart;feelings",Guess the hidden Kanji,Text
"巧言令色、鮮なし〇。
巧言令色少なし〇。
盗人にも〇義。",仁,"仁:humanity;virtue;benevolence;charity;man;kernel",Guess the hidden Kanji,Text
"8歳未満の子〇は前頭葉が発達しきっておらず、そのため現実と空想の区別が付かなくなる場合がある。一部の子どもは、例えば洋服ダンスの中やベッドの下に化け物がいると信じることがあるかもしれない。彼らの一部はまた、夢と現実の区別ができないこともある。
「わぁ。シャツが後ろ前になってる。ちょっと、気付いてたでしょ？何で教えてくれないの？こんな格好で子〇たちに偉そうに説教しちゃったよ」「いやぁ、『知らぬが仏』って言葉もあるし。黙っとく方がいいかなぁと思って」
子〇のすきな小さい神さまがありました。いつもは森の中で、歌をうたったり笛を吹いたりして、小鳥やけものと遊んでいましたが、ときどき人のすんでいる村へ出てきて、すきな子〇たちと遊ぶのでした。",供,"供:submit;offer;present;serve (meal);accompany",Guess the hidden Kanji,Text
"中東からの石油の〇給は混〇するかもしれない。
子〇達は本を〇暴に扱った。",供乱,"乱:riot;war;disorder;disturb
供:submit;offer;present;serve (meal);accompany",Guess the hidden Kanji,Text
"僕は子〇の頃、いつも牛〇を飲んでいたよ。
子〇は毎日牛〇を飲むべきだ。",供乳,"乳:milk;breasts
供:submit;offer;present;serve (meal);accompany",Guess the hidden Kanji,Text
"君が子〇の頃大好きだった女性シンガーが、ガンで〇くなったよ。
子〇たちの母親が〇くなった後は、彼女が子〇たちの面倒を見た。
祖父は僕が子〇の時に〇くなったんです。",供亡,"亡:deceased;the late;dying;perish
供:submit;offer;present;serve (meal);accompany",Guess the hidden Kanji,Text
"どこの国でも、何時の時代でも、子〇は親の価〇観を見習って育つものである。いわゆる「教育ママ」の教育に対する考え方が、子〇を精神的にいびつに育ててしまっていると指摘する声もある。
少年はこの子〇の命を救ったことに対して賞賛に〇する。
過度の〇給は〇崩れにつながる。",供値,"値:price;cost;value
供:submit;offer;present;serve (meal);accompany",Guess the hidden Kanji,Text
"ジョーンは子〇の頃はみじめだったが、のちに大女〇になった。
自分の子〇たちには是非とも〇しくしなさい。
彼女は子〇たちに〇しい声で話しかけた。",供優,"供:submit;offer;present;serve (meal);accompany
優:tenderness;excel;surpass;actor;superiority;gentleness",Guess the hidden Kanji,Text
"その医師は内科医として、瀕死の子〇の生命を救うために、できることはなんでもしたばかりか、〇機を切り抜けるために自分の血を提〇までした。
どんなことがあっても子〇たちを〇険から守らなければいけない。
子〇たちは〇険に近づかないようにすべきだ。それは〇険だ。",供危,"危:dangerous;fear;uneasy
供:submit;offer;present;serve (meal);accompany",Guess the hidden Kanji,Text
"彼らは子〇たちに〇しすぎるという理由で先生を責め立てた。
子〇たちに〇しくしないと手に負えなくなるよ。
半導体〇給が〇しいとは予想できなかった。",供厳,"供:submit;offer;present;serve (meal);accompany
厳:stern;strictness;severity;rigidity",Guess the hidden Kanji,Text
"日本に駐留していた米軍人と日本人女性の間に生まれた子〇のことを、侮蔑の意図を込めて、「あいのこ」と〇んでいました。
子〇の具合がよくないので彼らは医者を〇んだ。
その写真は子〇時代の記憶を〇び戻した。",供呼,"呼:call;call out to;invite
供:submit;offer;present;serve (meal);accompany",Guess the hidden Kanji,Text
"彼女ぐらいの年齢の子〇に〇悪の区別がつくであろうか。
彼女の年頃の子〇に〇悪の区別がつくでしょうか。
昔の子〇はみんな、〇悪の区別ができた。",供善,"供:submit;offer;present;serve (meal);accompany
善:virtuous;good;goodness",Guess the hidden Kanji,Text
"「どうも馬鹿な子〇で〇ります」と言うのを、 「なアに、ふたりとも利口なたちだから、おぼえがよくッて末頼もしい」と、僕は讃めてやった。
その子〇は彼にうるさく質問して〇らせた。",供困,"困:quandary;become distressed;annoyed
供:submit;offer;present;serve (meal);accompany",Guess the hidden Kanji,Text
"子〇が好きなものをもったいなさそうにチビチビと食べてる〇って、なんかかわいいよね。
病気と闘いながら懸命に生きる子〇たちの〇に心を打たれました。
子〇達は〇は見られてもおしゃべりを聞かれてはならない。",供姿,"姿:figure;form;shape
供:submit;offer;present;serve (meal);accompany",Guess the hidden Kanji,Text
"エネルギーの〇給が問題になるとそれに依〇するすべてのものもまた問題になる。
子〇のころ、怪物はそんなに恐ろしい〇在じゃないと、僕が思ってたものだ。
子〇はテレビに依〇する様になるものだ。",供存,"存:exist;suppose;be aware of;believe;feel
供:submit;offer;present;serve (meal);accompany",Guess the hidden Kanji,Text
"子〇たちが眠ったあと、自分たちはまんじりともせず、どうやって住〇ローンを払ったらいいのか、病院の請求書をどう払ったらいいのか、子〇の大学進学費をどうやって貯めたらいいのか、途方にくれている母親や父親があちこちにたくさんいる。
授業が終わって、子〇たちは帰〇した。",供宅,"宅:home;house;residence;our house;my husband
供:submit;offer;present;serve (meal);accompany",Guess the hidden Kanji,Text
"彼女は子〇のことに〇心している。
彼女は子〇のことに〇念した。",供専,"専:specialty;exclusive;mainly;solely
供:submit;offer;present;serve (meal);accompany",Guess the hidden Kanji,Text
"たいていの親は自分の子〇の〇来が気になるものです。
その母親は子〇たちの〇来をとても心配している。
親はいつも子〇の〇来のことを心配している。",供将,"将:leader;commander;general;admiral;or;and again;soon;from now on;just about
供:submit;offer;present;serve (meal);accompany",Guess the hidden Kanji,Text
"この薬は子〇たちの手の〇かないところに置いておきなさい。
薬は全部子〇の手の〇かないところにしまっておきなさい。
薬の箱は子〇の手の〇かない場所に置いておくべきです。",供届,"届:deliver;reach;arrive;report;notify;forward
供:submit;offer;present;serve (meal);accompany",Guess the hidden Kanji,Text
"残念ながら、多くの子〇たちが、そうした自〇中心的な大人たちを手本として育っている。
子〇たちが自〇主張したり喧嘩をしたりするのは当然だ。",供己,"供:submit;offer;present;serve (meal);accompany
己:self",Guess the hidden Kanji,Text
"喧嘩をしていた二人の子〇は、お互いにしかめっ面をして〇っていた。
一列目に子〇たちが〇って、その後ろに大人が〇りました。
その子〇は眠そうな目をしてベンチに〇っていた。",供座,"座:squat;seat;cushion;gathering;sit
供:submit;offer;present;serve (meal);accompany",Guess the hidden Kanji,Text
"子〇は生まれつき〇順であるのではないのは、生まれつき礼儀正しいのではないのと同じである。
子〇はおとなの言うことに〇うべきだよ、よいかね。
その老人は孫をお〇に〇えていた。",供従,"従:accompany;obey;submit to;comply;follow;secondary;incidental;subordinate
供:submit;offer;present;serve (meal);accompany",Guess the hidden Kanji,Text
"食料の〇給が不足したので、〇々は残された少量を配分しなければならなかった。
彼女は子〇のように取り扱われることには〇慢ならない。
聡明な子〇は失敗してもそれを〇慢することができる。",供我,"供:submit;offer;present;serve (meal);accompany
我:ego;I;selfish;our;oneself",Guess the hidden Kanji,Text
"トムがさ、子〇にフランス語を教えてくれる人を〇しているんだよ。
彼女は行方不明になった子〇を〇しに森へはいっていった。
子〇向けの本を〇しています。",供探,"供:submit;offer;present;serve (meal);accompany
探:grope;search;look for",Guess the hidden Kanji,Text
"「今度、子〇たちに英語を教えることになったんだけど、嬉しい反面、緊張する。上手く喋れるかな」「すごいじゃん。少々失敗しても、ご愛〇ってことで大丈夫よ。自信もって頑張ってね！」
子〇達は以前、親を〇っていたが、今では親を自分たちと対等とみなす傾向がある。",供敬,"敬:awe;respect;honor;revere
供:submit;offer;present;serve (meal);accompany",Guess the hidden Kanji,Text
"彼女は子〇に、素〇なおもちゃを買ってやりました。
彼の子〇っぽい笑い方が素〇よね。",供敵,"敵:enemy;foe;opponent
供:submit;offer;present;serve (meal);accompany",Guess the hidden Kanji,Text
"子〇たちは〇画に連れていってくれと言ってきかなかった。
大人も子〇もその〇画を見たがっている。
子〇は家族の雰囲気を〇し出す。",供映,"映:reflect;reflection;projection
供:submit;offer;present;serve (meal);accompany",Guess the hidden Kanji,Text
"パリなどでは、夏になると、細君や子〇を避暑地にやって置いて、夫は、土曜日の〇から日曜へかけてそこへ出掛けて行く風習があります。
パリなどでは、夏になると、細君や子〇を避暑地にやつて置いて、夫は、土曜日の〇から日曜へかけてそこへ出掛けて行く風習があります。
ポーチに立っている子〇たちをよく見ると、前の〇に行方不明になったのと同じ子〇たちだとわかった。",供晩,"供:submit;offer;present;serve (meal);accompany
晩:nightfall;night",Guess the hidden Kanji,Text
"この国では多くの子〇たちがその日〇らしをしている。
彼らは、普通、自分たちの子〇と一緒に〇らさない。
子〇は日が〇れるまで外で遊んでいた。",供暮,"暮:evening;twilight;season's end;livelihood;make a living;spend time
供:submit;offer;present;serve (meal);accompany",Guess the hidden Kanji,Text
"神の子〇とされる特〇を御与えになった。
旦那も子〇の引き取り〇を望んでいた。
問題は子〇の引き取り〇だった。",供権,"権:authority;power;rights
供:submit;offer;present;serve (meal);accompany",Guess the hidden Kanji,Text
"うちの子〇たちも隣の子〇たちのような自転車を〇しがっている。
子〇たちが〇しがるものすべてを与えるべきではない。
子〇がおもちゃを買って〇しいと駄々をこねていた。",供欲,"供:submit;offer;present;serve (meal);accompany
欲:longing;covetousness;greed;passion;desire;craving",Guess the hidden Kanji,Text
"子〇にお金を残そうなんて考えずにパーッと〇手に遊んで使い切って下さいね。
子〇が健康だということは母親の育て方が立〇であるということを物語る。
子〇が何かを立〇にやったら、いくら誉めても足りないものだ。",供派,"派:faction;group;party;clique;sect;school
供:submit;offer;present;serve (meal);accompany",Guess the hidden Kanji,Text
"彼らの子〇の育て方は普通ときわめて〇なっている。
子〇はみんな〇邦人だ。",供異,"供:submit;offer;present;serve (meal);accompany
異:uncommon;different;queerness;strangeness;wonderful;curious;unusual",Guess the hidden Kanji,Text
"彼の〇述の真実性は〇わしいと思う。
子〇には〇問がたくさんあります。",供疑,"疑:doubt;distrust;be suspicious;question
供:submit;offer;present;serve (meal);accompany",Guess the hidden Kanji,Text
"彼女はその子〇の心〇をいやすのに苦労した。
あの飢えた子〇たちを思う心が〇む。
その哀れな子〇に彼女は心を〇めた。",供痛,"痛:pain;hurt;damage;bruise
供:submit;offer;present;serve (meal);accompany",Guess the hidden Kanji,Text
"その小さな子〇たちは、とても好奇心が旺〇だった。
小さな子〇は好奇心が旺〇です。",供盛,"盛:boom;prosper;copulate
供:submit;offer;present;serve (meal);accompany",Guess the hidden Kanji,Text
"彼女は病気の子〇を徹夜で〇病した。
彼女は病気の子〇を夜通し〇病した。",供看,"看:watch over;see
供:submit;offer;present;serve (meal);accompany",Guess the hidden Kanji,Text
"浜辺にいる子〇たちが〇のお城を造っている。
子〇たちは浜辺で〇の城を作っている。
数人の子〇が〇浜で遊んでいる。",供砂,"供:submit;offer;present;serve (meal);accompany
砂:sand",Guess the hidden Kanji,Text
"どんな小さな子〇でもそんな〇単なことは知っている。
この本は子〇でも読めるくらい〇単だよ。",供簡,"簡:simplicity;brevity
供:submit;offer;present;serve (meal);accompany",Guess the hidden Kanji,Text
"子〇って、ホント〇粋でかわいいね。
彼女は子〇のように単〇だ。",供純,"供:submit;offer;present;serve (meal);accompany
純:genuine;purity;innocence;net (profit)",Guess the hidden Kanji,Text
"先生は子〇たちを〇の高い順にならべた。
母親は病気の子〇の〇中をさすった。",供背,"背:stature;height;back;behind;disobey;defy;go back on;rebel
供:submit;offer;present;serve (meal);accompany",Guess the hidden Kanji,Text
"子〇の頃、遠足の前の日には、〇がワクワクして眠れなかった。
アフリカの飢えに苦しむ子〇たちの事を思うと〇がいたむ。",供胸,"胸:bosom;breast;chest;heart;feelings
供:submit;offer;present;serve (meal);accompany",Guess the hidden Kanji,Text
"子〇たちのやることにいちいち〇を立ててはいけない。
彼女がうちの子〇たちを騙したので〇が立った。
彼女は自分の子〇にとても〇を立てています。",供腹,"供:submit;offer;present;serve (meal);accompany
腹:abdomen;belly;stomach",Guess the hidden Kanji,Text
"子〇たちが家の〇で遊んでいる。
子〇たちは〇庭で遊んでいた。",供裏,"供:submit;offer;present;serve (meal);accompany
裏:back;amidst;in;reverse;inside;palm;sole;rear;lining;wrong side",Guess the hidden Kanji,Text
"特に子〇に与える影響は無〇できない。
彼は子〇のころ〇力を失った。",供視,"視:inspection;regard as;see;look at
供:submit;offer;present;serve (meal);accompany",Guess the hidden Kanji,Text
