Question,Answer,Comment,Instruction,Render as
乃,"の","'s;of;belonging to",Guess the Kunyomi,Image
之,"の","'s;of;belonging to",Guess the Kunyomi,Image
也,"なり","to be;to be (location);sum of money",Guess the Kunyomi,Image
仄,"ほの","faintly;dimly;slightly;barely",Guess the Kunyomi,Image
仇,"あた,かたき","foe;enemy;rival;resentment;enmity;grudge;harm;injury,rival;opponent;adversary;competitor;enemy (esp. one with which there is longstanding enmity);foe;revenge;spouse",Guess the Kunyomi,Image
仔,"こ","young (animal)",Guess the Kunyomi,Image
伜,"せがれ","son;punk;brat;penis",Guess the Kunyomi,Image
伽,"とぎ","nursing;nurse;attending;attendant;entertainer",Guess the Kunyomi,Image
侠,"きゃん","pert;tomboyish;impudent;lively;boisterous;gallant;chivalrous",Guess the Kunyomi,Image
俥,"くるま","rickshaw;jinrikisha",Guess the Kunyomi,Image
倅,"せがれ","son;punk;brat;penis",Guess the Kunyomi,Image
倩,"つらつら","carefully;closely;attentively;profoundly;deeply;at length",Guess the Kunyomi,Image
儂,"わし","I;me",Guess the Kunyomi,Image
儕,"ともがら","comrade;fellow",Guess the Kunyomi,Image
冰,"ひ","ice;hail",Guess the Kunyomi,Image
凧,"いかのぼり","kite",Guess the Kunyomi,Image
凪,"なぎ","calm (at sea);lull",Guess the Kunyomi,Image
凰,"おおとり","large bird;peng (in Chinese mythology, giant bird said to transform from a fish);fenghuang (Chinese phoenix)",Guess the Kunyomi,Image
劓,"はなきり","cutting off the nose (form of punishment in ancient China)",Guess the Kunyomi,Image
匁,"もんめ","monme (unit of weight, 3.75 g);monme;Edo-period silver coin worth between 1/50th and 1/80th of a ryō",Guess the Kunyomi,Image
匏,"ひさご","gourd;calabash;bottle gourd;dried gourd, used as flask",Guess the Kunyomi,Image
卌,"しじゅう","forty;40",Guess the Kunyomi,Image
卍,"まんじ","swastika (esp. counterclockwise form as a Buddhist symbol);fylfot;gammadion;swastika-shaped family crest;wow;yeah;ugh;yuck;awesome;really;let's go",Guess the Kunyomi,Image
卩,"わりふ","kanji 'seal' radical (radical 26)",Guess the Kunyomi,Image
厠,"かわや","privy;toilet",Guess the Kunyomi,Image
厨,"くりや","kitchen",Guess the Kunyomi,Image
厩,"うまや","stable;barn",Guess the Kunyomi,Image
叢,"くさむら,むら","the grass;grassy place (esp. with long dense grass),gathering",Guess the Kunyomi,Image
叺,"かます","straw bag",Guess the Kunyomi,Image
咎,"とが","error;mistake;fault;sin;wrongdoing;offense",Guess the Kunyomi,Image
咫,"た","distance between outstretched thumb and middle finger (approx. 18 cm)",Guess the Kunyomi,Image
咳,"しわぶき","cough;coughing;tussis",Guess the Kunyomi,Image
哉,"かな","how!;what!;alas!",Guess the Kunyomi,Image
唖,"おし","muteness;speech impairment;mute;deaf-mute",Guess the Kunyomi,Image
喃,"のう","excuse me! (when calling out to someone);right?;don't you agree?",Guess the Kunyomi,Image
嘴,"はし","beak;bill",Guess the Kunyomi,Image
嚊,"かかあ","wife",Guess the Kunyomi,Image
嚏,"くさめ","sneeze;spoken twice in response to someone sneezing as a charm against an early death",Guess the Kunyomi,Image
嚔,"くさめ","sneeze;spoken twice in response to someone sneezing as a charm against an early death",Guess the Kunyomi,Image
囮,"おとり","decoy (for hunting);stool;lure;decoy;stool pigeon;trap",Guess the Kunyomi,Image
坏,"つき","shallow bowl",Guess the Kunyomi,Image
坤,"ひつじさる","southwest",Guess the Kunyomi,Image
垤,"ありづか","anthill",Guess the Kunyomi,Image
塒,"とぐろ,ねぐら","coil,roost;nest;pad;crib;one's home;sleeping place",Guess the Kunyomi,Image
